"obs_site","ant","tag_id","run","rtype_name","filename","rel_site","rel_rkm","subbasin","subbasin_name","rel_date","etype","date","length","count","transported","year","mindate","maxdate"
"TOUCHR",NA,"3DD.007786F9AB","Summer","Wild Fish or Natural Production","JDB15358.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-24,"Mark",2015-12-24 10:00:00,120,1,FALSE,NA,NA,NA
"HST","Upstream Array","3DD.007786F9AB","Summer","Wild Fish or Natural Production","JDB15358.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-24,"Observation",2015-12-24 16:21:26,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F9BC","Summer","Wild Fish or Natural Production","JDB15352.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-21,"Mark",2015-12-18 10:00:00,132,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F9C1","Summer","Wild Fish or Natural Production","JDB16011.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-01-12,"Mark",2016-01-11 11:30:00,106,1,FALSE,NA,NA,NA
"BCC","15X15 FULL-FLOW ANTENNA","3DD.007786F9C1","Summer","Wild Fish or Natural Production","JDB16011.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-01-12,"Observation",2016-05-09 16:07:54,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F9C7","Summer","Wild Fish or Natural Production","JDB-2016-334-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-02,"Mark",2016-11-29 08:30:00,158,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F9DA","Summer","Wild Fish or Natural Production","JDB16014.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-02-03,"Mark",2016-01-14 09:00:00,123,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786F9DF","Summer","Wild Fish or Natural Production","JDB16104.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-04-15,"Mark",2016-04-13 10:30:00,175,1,FALSE,NA,NA,NA
"HST","Downstream Array","3DD.007786F9DF","Summer","Wild Fish or Natural Production","JDB16104.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-04-15,"Observation",2016-04-15 19:21:50,NA,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786FA02","Summer","Wild Fish or Natural Production","JDB16104.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2016-04-15,"Mark",2016-04-13 10:30:00,180,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786FA25","Summer","Wild Fish or Natural Production","JDB15355.TOU","TOUCHR","509.035.051",17070102,"Walla Walla",2015-12-23,"Mark",2015-12-21 11:00:00,125,1,FALSE,NA,NA,NA
"TOUCHR",NA,"3DD.007786FA43","Summer","Wild Fish or Natural Production","JDB-2016-349-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-28,"Mark",2016-12-14 13:00:00,146,1,FALSE,NA,NA,NA
"HST","Downstream Array","3DD.007786FA43","Summer","Wild Fish or Natural Production","JDB-2016-349-TOU.XML","TOUCHR","509.035.051",17070102,"Walla Walla",2016-12-28,"Observation",2016-12-28 15:27:02,NA,1,FALSE,NA,NA,NA
