"obs_site","ant","tag_id","run","filename","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","dtime","species"
"MC1","COUNTING WINDOW","3D9.1BF280ABA2","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-12 18:10:04,"H",94,FALSE,1.64890046296296,"sockeye"
"ICH","RIGHT LADDER WEIR 438 [S/O]","3D9.1BF280ABA2","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-14 10:00:31,"H",94,FALSE,1.15740740740741e-05,"sockeye"
"ICH","RIGHT LADDER WEIR 438 [S/O]","3D9.1BF280ABA2","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-14 10:00:32,"H",94,FALSE,3.21615740740741,"sockeye"
"GRA","WEIR 733","3D9.1BF280ABA2","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-17 17:34:30,"H",94,FALSE,0.64994212962963,"sockeye"
"GRA","WEIR 732","3D9.1BF280ABA2","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-18 11:09:13,"H",94,FALSE,0.000613425925925926,"sockeye"
"GRA","WEIR 733","3D9.1BF280ABA2","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-18 11:10:06,"H",94,FALSE,35.9513194444444,"sockeye"
"RLCTRP",NA,"3D9.1BF280ABA2","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Recapture",2010-08-23 10:00:00,"H",94,FALSE,-813.849560185185,"sockeye"
"JDJ","RIVER EXIT","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2008-05-31 13:43:05,"H",108,FALSE,1.15740740740741e-05,"sockeye"
"JDJ","RIVER EXIT","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2008-05-31 13:43:06,"H",108,FALSE,757.924409722222,"sockeye"
"BO3","AFF SOUTH FLUME [ISO 134KHZ]","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-06-28 11:54:15,"H",108,FALSE,1.15740740740741e-05,"sockeye"
"BO3","AFF SOUTH FLUME [ISO 134KHZ]","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-06-28 11:54:16,"H",108,FALSE,0.753125,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-06-29 06:17:41,"H",108,FALSE,1.15740740740741e-05,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-06-29 06:17:42,"H",108,FALSE,6.35516203703704,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-05 14:49:13,"H",108,FALSE,1.15740740740741e-05,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-05 14:49:14,"H",108,FALSE,4.07520833333333,"sockeye"
"ICH","RIGHT LADDER WEIR 438 [S/O]","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-09 17:37:44,"H",108,FALSE,0.507395833333333,"sockeye"
"ICH","LEFT LADDER WEIR 437 [O/S]","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-10 05:49:54,"H",108,FALSE,0.00190972222222222,"sockeye"
"ICH","LEFT LADDER WEIR 438 [O/S]","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-10 05:52:39,"H",108,FALSE,8.33168981481482,"sockeye"
"GRA","WEIR 732","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-18 17:08:48,"H",108,FALSE,0.0066087962962963,"sockeye"
"GRA","WEIR 733","3D9.1BF280BFE8","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-18 17:18:19,"H",108,FALSE,-23.2609953703704,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF280CB27","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-06-25 11:08:25,"H",98,FALSE,0.00238425925925926,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF280CB27","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-06-25 11:11:51,"H",98,FALSE,5.95127314814815,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF280CB27","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-01 10:01:44,"H",98,FALSE,1.15740740740741e-05,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF280CB27","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-01 10:01:45,"H",98,FALSE,1.26912037037037,"sockeye"
"ICH","RIGHT LADDER WEIR 438 [S/O]","3D9.1BF280CB27","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-02 16:36:10,"H",98,FALSE,1.15740740740741e-05,"sockeye"
"ICH","RIGHT LADDER WEIR 438 [S/O]","3D9.1BF280CB27","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-02 16:36:11,"H",98,FALSE,3.05875,"sockeye"
"GRA","WEIR 732","3D9.1BF280CB27","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-05 20:20:32,"H",98,FALSE,0.00333333333333333,"sockeye"
"GRA","WEIR 733","3D9.1BF280CB27","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-05 20:25:20,"H",98,FALSE,27.6171296296296,"sockeye"
"RLCTRP",NA,"3D9.1BF280CB27","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Recapture",2010-08-02 11:14:00,"H",98,FALSE,-798.494548611111,"sockeye"
"GOJ","ADULT FISH RETURN","3D9.1BF280D787","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2008-05-25 23:21:51,"H",116,FALSE,1.39581018518519,"sockeye"
"LMJ","A-DIVERSION","3D9.1BF280D787","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2008-05-27 09:15:14,"H",116,FALSE,0.00247685185185185,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF280D787","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2008-05-27 09:18:48,"H",116,FALSE,785.077731481481,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF280D787","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-21 11:18:12,"H",116,FALSE,0.00130787037037037,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF280D787","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-21 11:20:05,"H",116,FALSE,5.05481481481482,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF280D787","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-26 12:39:01,"H",116,FALSE,5.78703703703704e-05,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF280D787","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-26 12:39:06,"H",116,FALSE,1.30872685185185,"sockeye"
"ICH","RIGHT LADDER WEIR 438 [S/O]","3D9.1BF280D787","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-27 20:06:28,"H",116,FALSE,1.15740740740741e-05,"sockeye"
"ICH","RIGHT LADDER WEIR 438 [S/O]","3D9.1BF280D787","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-27 20:06:29,"H",116,FALSE,3.64572916666667,"sockeye"
"GRA","WEIR 732","3D9.1BF280D787","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-31 13:37:26,"H",116,FALSE,0.000428240740740741,"sockeye"
"GRA","WEIR 733","3D9.1BF280D787","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-31 13:38:03,"H",116,FALSE,-62.6555092592593,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2C3B1081","Summer","DDT10127.PET","PETTLC","Upper Salmon",2010-05-14,"Observation",2010-05-29 21:54:18,"W",120,FALSE,2.31481481481481e-05,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2C3B1081","Summer","DDT10127.PET","PETTLC","Upper Salmon",2010-05-14,"Observation",2010-05-29 21:54:20,"W",120,FALSE,37.6512615740741,"sockeye"
"BO2","WEIR 51","3D9.1C2C41D8EB","Summer","DDT08123.ALT","ALTULC","Upper Salmon",2008-05-13,"Observation",2010-07-06 13:33:26,"W",87,FALSE,0.000243055555555556,"sockeye"
"BO2","WEIR 52","3D9.1C2C41D8EB","Summer","DDT08123.ALT","ALTULC","Upper Salmon",2008-05-13,"Observation",2010-07-06 13:33:47,"W",87,FALSE,0.0863773148148148,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1C2C41D8EB","Summer","DDT08123.ALT","ALTULC","Upper Salmon",2008-05-13,"Observation",2010-07-06 15:46:42,"W",87,FALSE,1.15740740740741e-05,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1C2C41D8EB","Summer","DDT08123.ALT","ALTULC","Upper Salmon",2008-05-13,"Observation",2010-07-06 15:46:43,"W",87,FALSE,-40.791875,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2C424910","Summer","DDT10127.PET","PETTLC","Upper Salmon",2010-05-14,"Observation",2010-05-26 20:46:45,"W",119,FALSE,2.31481481481481e-05,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2C424910","Summer","DDT10127.PET","PETTLC","Upper Salmon",2010-05-14,"Observation",2010-05-26 20:46:47,"W",119,FALSE,2.1243287037037,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1C2C424910","Summer","DDT10127.PET","PETTLC","Upper Salmon",2010-05-14,"Observation",2010-05-29 01:14:34,"W",119,FALSE,3.47222222222222e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2C424910","Summer","DDT10127.PET","PETTLC","Upper Salmon",2010-05-14,"Observation",2010-05-29 01:14:37,"W",119,FALSE,-0.581759259259259,"sockeye"
"GOJ","B-SEPARATOR GATE","3D9.1C2C432D34","Summer","DDT10127.PET","PETTLC","Upper Salmon",2010-05-12,"Observation",2010-05-28 12:53:25,"H",117,FALSE,0.812974537037037,"sockeye"
"GOJ","SAMPLE ROOM","3D9.1C2C432D34","Summer","DDT10127.PET","PETTLC","Upper Salmon",2010-05-12,"Observation",2010-05-29 08:24:06,"H",117,TRUE,-19.0090972222222,"sockeye"
"RLCTRP",NA,"3D9.1C2C6AF43B","Summer","MPP10129.RLC","RLCTRP","Upper Salmon",2010-05-09,"Recapture",2010-05-10 08:11:00,"W",98,FALSE,12.9291435185185,"sockeye"
"GRJ","ADULT FISH RETURN","3D9.1C2C6AF43B","Summer","MPP10129.RLC","RLCTRP","Upper Salmon",2010-05-09,"Observation",2010-05-23 06:28:58,"W",98,FALSE,3.60905092592593,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2C6AFDD5","Summer","MPP10129.RLC","RLCTRP","Upper Salmon",2010-05-09,"Observation",2010-05-26 21:10:29,"W",107,FALSE,1.15740740740741e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2C6AFDD5","Summer","MPP10129.RLC","RLCTRP","Upper Salmon",2010-05-09,"Observation",2010-05-26 21:10:30,"W",107,FALSE,-735.579375,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2008-05-21 07:16:17,"H",143,FALSE,4.62962962962963e-05,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2008-05-21 07:16:21,"H",143,FALSE,764.275925925926,"sockeye"
"BO3","WEIR 59","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-06-24 14:39:30,"H",143,FALSE,1.15740740740741e-05,"sockeye"
"BO3","WEIR 59","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-06-24 14:39:31,"H",143,FALSE,0.0921527777777778,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-06-24 17:04:47,"H",143,FALSE,1.15740740740741e-05,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-06-24 17:04:48,"H",143,FALSE,5.80859953703704,"sockeye"
"MC1","COUNTING WINDOW","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-06-30 12:29:15,"H",143,FALSE,1.15740740740741e-05,"sockeye"
"MC1","COUNTING WINDOW","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-06-30 12:29:16,"H",143,FALSE,3.08625,"sockeye"
"ICH","RIGHT LADDER WEIR 437 [S/O]","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-07-03 14:33:51,"H",143,FALSE,0.000138888888888889,"sockeye"
"ICH","RIGHT LADDER WEIR 438 [S/O]","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-07-03 14:34:03,"H",143,FALSE,5.92673611111111,"sockeye"
"GRA","WEIR 732","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-07-09 15:29:12,"H",143,FALSE,0.000138888888888889,"sockeye"
"GRA","WEIR 733","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-07-09 15:29:24,"H",143,FALSE,36.9058449074074,"sockeye"
"STL","KEYWAY 1 - ORIFICE","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-08-15 19:26:24,"H",143,FALSE,0.667766203703704,"sockeye"
"STL","KEYWAY 1 - ORIFICE","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-08-16 17:28:43,"H",143,FALSE,0.770358796296296,"sockeye"
"STL","KEYWAY 3 - ORIFICE","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-08-17 12:05:55,"H",143,FALSE,0.00630787037037037,"sockeye"
"STL","KEYWAY 3 - OVERFLOW","3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Observation",2010-08-17 12:15:00,"H",143,FALSE,0.90625,"sockeye"
"RLCTRP",NA,"3D9.1C2C809663","Summer","MPP08080.OX1","RLCTRP","Upper Salmon",2008-05-08,"Recapture",2010-08-18 10:00:00,"H",143,FALSE,-104.1125,"sockeye"
"RLCTRP",NA,"3D9.1C2C80F053","Summer","MPP10123.RLC","RLCTRP","Upper Salmon",2010-05-03,"Recapture",2010-05-06 07:18:00,"W",118,FALSE,16.752650462963,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2C80F053","Summer","MPP10123.RLC","RLCTRP","Upper Salmon",2010-05-03,"Observation",2010-05-23 01:22:06,"W",118,FALSE,2.31481481481481e-05,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2C80F053","Summer","MPP10123.RLC","RLCTRP","Upper Salmon",2010-05-03,"Observation",2010-05-23 01:22:08,"W",118,FALSE,2.40021990740741,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1C2C80F053","Summer","MPP10123.RLC","RLCTRP","Upper Salmon",2010-05-03,"Observation",2010-05-25 11:57:37,"W",118,FALSE,2.31481481481481e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2C80F053","Summer","MPP10123.RLC","RLCTRP","Upper Salmon",2010-05-03,"Observation",2010-05-25 11:57:39,"W",118,FALSE,7.37341435185185,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1C2C80F053","Summer","MPP10123.RLC","RLCTRP","Upper Salmon",2010-05-03,"Observation",2010-06-01 21:01:33,"W",118,FALSE,1.15740740740741e-05,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1C2C80F053","Summer","MPP10123.RLC","RLCTRP","Upper Salmon",2010-05-03,"Observation",2010-06-01 21:01:34,"W",118,FALSE,-26.5719212962963,"sockeye"
"RLCTRP",NA,"3D9.1C2C80F463","Summer","MPP10125.RLC","RLCTRP","Upper Salmon",2010-05-05,"Recapture",2010-05-06 07:18:00,"W",112,FALSE,16.5540625,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2C80F463","Summer","MPP10125.RLC","RLCTRP","Upper Salmon",2010-05-05,"Observation",2010-05-22 20:36:03,"W",112,FALSE,2.31481481481481e-05,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2C80F463","Summer","MPP10125.RLC","RLCTRP","Upper Salmon",2010-05-05,"Observation",2010-05-22 20:36:05,"W",112,FALSE,-15.504224537037,"sockeye"
"RLCTRP",NA,"3D9.1C2C80F597","Summer","MPP10126.RLC","RLCTRP","Upper Salmon",2010-05-06,"Recapture",2010-05-07 08:30:00,"H",113,FALSE,14.4995833333333,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2C80F597","Summer","MPP10126.RLC","RLCTRP","Upper Salmon",2010-05-06,"Observation",2010-05-21 20:29:33,"H",113,FALSE,2.31481481481481e-05,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2C80F597","Summer","MPP10126.RLC","RLCTRP","Upper Salmon",2010-05-06,"Observation",2010-05-21 20:29:35,"H",113,FALSE,118.646122685185,"sockeye"
"FOUNDI",NA,"3D9.1C2C80F597","Summer","MPP10126.RLC","RLCTRP","Upper Salmon",2010-05-06,"Recovery",2010-09-17 12:00:00,"H",113,FALSE,-118.717384259259,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2C80F6FE","Summer","MPP10125.RLC","RLCTRP","Upper Salmon",2010-05-05,"Observation",2010-05-21 19:14:05,"W",110,FALSE,1.15740740740741e-05,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2C80F6FE","Summer","MPP10125.RLC","RLCTRP","Upper Salmon",2010-05-05,"Observation",2010-05-21 19:14:06,"W",110,FALSE,23.232025462963,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2C80F782","Summer","MPP08269.AL1","ALTURL","Upper Salmon",2008-10-06,"Observation",2010-06-14 00:48:26,"H",63,FALSE,1.15740740740741e-05,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2C80F782","Summer","MPP08269.AL1","ALTURL","Upper Salmon",2008-10-06,"Observation",2010-06-14 00:48:27,"H",63,FALSE,6.60347222222222,"sockeye"
"BCC","15X15 FULL-FLOW ANTENNA","3D9.1C2C80F782","Summer","MPP08269.AL1","ALTURL","Upper Salmon",2008-10-06,"Observation",2010-06-20 15:17:27,"H",63,FALSE,-45.3329513888889,"sockeye"
"RLCTRP",NA,"3D9.1C2C80F7AD","Summer","MPP10125.RLC","RLCTRP","Upper Salmon",2010-05-05,"Recapture",2010-05-06 07:18:00,"W",112,FALSE,17.2270138888889,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1C2C80F7AD","Summer","MPP10125.RLC","RLCTRP","Upper Salmon",2010-05-05,"Observation",2010-05-23 13:04:55,"W",112,FALSE,1.15740740740741e-05,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1C2C80F7AD","Summer","MPP10125.RLC","RLCTRP","Upper Salmon",2010-05-05,"Observation",2010-05-23 13:04:56,"W",112,FALSE,18.5573263888889,"sockeye"
"LMJ","B-DIVERSION","3D9.1C2C80FA3D","Summer","MPP10151.RLC","RLCTRP","Upper Salmon",2010-05-31,"Observation",2010-06-11 02:29:13,"W",94,FALSE,0.000462962962962963,"sockeye"
