"obs_site","ant","tag_id","run","filename","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","dtime","species"
"PETTLC",NA,"3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Recapture",2008-05-11 09:00:00,"H",104,FALSE,782.756585648148,"sockeye"
"BO1","VERTICAL SLOT DETECTORS","3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-03 05:12:26,"H",104,FALSE,0.00759259259259259,"sockeye"
"BO1","VERTICAL SLOT DETECTORS","3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-03 05:23:22,"H",104,FALSE,0.255763888888889,"sockeye"
"BCC","15X15 FULL-FLOW ANTENNA","3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-03 11:31:40,"H",104,FALSE,1.15740740740741e-05,"sockeye"
"BCC","15X15 FULL-FLOW ANTENNA","3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-03 11:31:41,"H",104,FALSE,1.01679398148148,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-04 12:04:43,"H",104,FALSE,1.15740740740741e-05,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-04 12:04:44,"H",104,FALSE,4.25251157407407,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-09 04:07:39,"H",104,FALSE,0.000138888888888889,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-09 04:07:51,"H",104,FALSE,1.42299768518519,"sockeye"
"ICH","RIGHT LADDER WEIR 438 [S/O]","3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-10 14:28:14,"H",104,FALSE,1.15740740740741e-05,"sockeye"
"ICH","RIGHT LADDER WEIR 438 [S/O]","3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-10 14:28:15,"H",104,FALSE,4.04771990740741,"sockeye"
"GRA","WEIR 732","3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-14 18:11:19,"H",104,FALSE,0.00236111111111111,"sockeye"
"GRA","WEIR 733","3D9.1BF2802FD4","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-14 18:14:43,"H",104,FALSE,-778.282013888889,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF2805267","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2008-05-27 11:28:50,"H",97,FALSE,1.15740740740741e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF2805267","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2008-05-27 11:28:51,"H",97,FALSE,6.82929398148148,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1BF2805267","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2008-06-03 13:01:25,"H",97,FALSE,1.15740740740741e-05,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1BF2805267","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2008-06-03 13:01:26,"H",97,FALSE,753.108981481481,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF2805267","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-06-26 15:48:08,"H",97,FALSE,0.0046875,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF2805267","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-06-26 15:54:53,"H",97,FALSE,7.16681712962963,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF2805267","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-03 20:07:04,"H",97,FALSE,0.000115740740740741,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF2805267","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-03 20:07:14,"H",97,FALSE,1.60791666666667,"sockeye"
"ICH","LEFT LADDER WEIR 438 [O/S]","3D9.1BF2805267","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-05 10:45:56,"H",97,FALSE,1.15740740740741e-05,"sockeye"
"ICH","LEFT LADDER WEIR 438 [O/S]","3D9.1BF2805267","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-05 10:45:57,"H",97,FALSE,5.10239583333333,"sockeye"
"GRA","WEIR 732","3D9.1BF2805267","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-10 16:27:28,"H",97,FALSE,0.000833333333333333,"sockeye"
"GRA","WEIR 733","3D9.1BF2805267","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-10 16:28:40,"H",97,FALSE,-776.537361111111,"sockeye"
"LMJ","FULL FLOW BYPASS","3D9.1BF280ABA2","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2008-05-25 03:34:56,"H",94,FALSE,0.000798611111111111,"sockeye"
"LMJ","ADULT FISH RETURN","3D9.1BF280ABA2","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2008-05-25 03:36:05,"H",94,FALSE,774.093321759259,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF280ABA2","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-08 06:43:28,"H",94,FALSE,1.15740740740741e-05,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF280ABA2","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-08 06:43:29,"H",94,FALSE,4.47578703703704,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF280ABA2","Summer","MPP07268.PT1","PETTL","Upper Salmon",2007-10-03,"Observation",2010-07-12 18:09:57,"H",94,FALSE,8.10185185185185e-05,"sockeye"
