"obs_site","ant","tag_id","run","filename","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","dtime","species"
"GRJ","B-SEPARATOR GATE","3D9.1BF11AD8EA","Summer","CCW04273.A04","ALTURL","Upper Salmon",2004-10-05,"Observation",2006-05-20 13:38:48,"H",80,FALSE,0.000173611111111111,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF11AD8EA","Summer","CCW04273.A04","ALTURL","Upper Salmon",2004-10-05,"Observation",2006-05-20 13:39:05,"H",80,FALSE,1.15740740740741e-05,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF11AD8EA","Summer","CCW04273.A04","ALTURL","Upper Salmon",2004-10-05,"Observation",2006-05-20 13:39:06,"H",80,FALSE,1.74550925925926,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1BF11AD8EA","Summer","CCW04273.A04","ALTURL","Upper Salmon",2004-10-05,"Observation",2006-05-22 07:32:49,"H",80,FALSE,2.31481481481481e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF11AD8EA","Summer","CCW04273.A04","ALTURL","Upper Salmon",2004-10-05,"Observation",2006-05-22 07:32:51,"H",80,FALSE,1.42746527777778,"sockeye"
"GOJ","ADULT FISH RETURN","3D9.1BF11ADFD8","Summer","CCW05271.PL2","PETTL","Upper Salmon",2005-10-05,"Observation",2006-05-23 17:48:24,"H",NA,FALSE,1.15740740740741e-05,"sockeye"
"GOJ","ADULT FISH RETURN","3D9.1BF11ADFD8","Summer","CCW05271.PL2","PETTL","Upper Salmon",2005-10-05,"Observation",2006-05-23 17:48:25,"H",NA,FALSE,3.095625,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1BF11ADFD8","Summer","CCW05271.PL2","PETTL","Upper Salmon",2005-10-05,"Observation",2006-05-26 20:08:02,"H",NA,FALSE,1.15740740740741e-05,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1BF11ADFD8","Summer","CCW05271.PL2","PETTL","Upper Salmon",2005-10-05,"Observation",2006-05-26 20:08:03,"H",NA,FALSE,-5.50016203703704,"sockeye"
"GOJ","ADULT FISH RETURN","3D9.1BF11AEF66","Summer","CCW04273.A04","ALTURL","Upper Salmon",2004-10-05,"Observation",2006-05-21 08:07:49,"H",NA,FALSE,2.16108796296296,"sockeye"
"LMJ","B-SEPARATOR GATE","3D9.1BF11AF125","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-23 11:59:48,"H",NA,FALSE,0.000219907407407407,"sockeye"
"LMJ","B-RACEWAY","3D9.1BF11AF125","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-23 12:00:07,"H",NA,TRUE,-2.48726851851852,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF11AF3BC","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-21 00:18:38,"H",NA,FALSE,1.15740740740741e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF11AF3BC","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-21 00:18:39,"H",NA,FALSE,3.70847222222222,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1BF11B81A7","Summer","CCW04273.A04","ALTURL","Upper Salmon",2004-10-05,"Observation",2006-05-24 17:19:02,"H",NA,FALSE,2.31481481481481e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF11B81A7","Summer","CCW04273.A04","ALTURL","Upper Salmon",2004-10-05,"Observation",2006-05-24 17:19:04,"H",NA,FALSE,0.727777777777778,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF11B81A7","Summer","CCW04273.A04","ALTURL","Upper Salmon",2004-10-05,"Observation",2006-05-25 20:16:38,"H",NA,FALSE,1.15740740740741e-05,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF11B81A7","Summer","CCW04273.A04","ALTURL","Upper Salmon",2004-10-05,"Observation",2006-05-25 20:16:39,"H",NA,FALSE,7.80502314814815,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1BF11BA650","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-06-02 15:35:59,"H",NA,FALSE,3.47222222222222e-05,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1BF11BA650","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-06-02 15:36:02,"H",NA,FALSE,19.3645717592593,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF1A1DA4A","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-06-22 00:21:14,"H",NA,FALSE,1.15740740740741e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF1A1DA4A","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-06-22 00:21:15,"H",NA,FALSE,-31.8257060185185,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1BF1A21442","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-21 04:32:24,"H",NA,FALSE,2.31481481481481e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF1A21442","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-21 04:32:26,"H",NA,FALSE,2.0924537037037,"sockeye"
"LMJ","ADULT FISH RETURN","3D9.1BF1A21442","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-23 06:45:34,"H",NA,FALSE,-2.51403935185185,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF1A22244","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-20 18:25:33,"H",NA,FALSE,1.15740740740741e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF1A22244","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-20 18:25:34,"H",NA,FALSE,127.73224537037,"sockeye"
"ESANIS",NA,"3D9.1BF1A22244","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Recovery",2006-09-25 12:00:00,"H",NA,FALSE,-125.207395833333,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF1A23E8A","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-23 07:33:53,"H",NA,FALSE,1.15740740740741e-05,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF1A23E8A","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-23 07:33:54,"H",NA,FALSE,1181.18479166667,"sockeye"
"LMILIS",NA,"3D9.1BF1A23E8A","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Recovery",2009-08-16 12:00:00,"H",NA,FALSE,-1174.65431712963,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF1A25705","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-29 20:18:13,"H",NA,FALSE,1.15740740740741e-05,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF1A25705","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-29 20:18:14,"H",NA,FALSE,2.32538194444444,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1BF1A25705","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-06-01 04:06:52,"H",NA,FALSE,4.62962962962963e-05,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1BF1A25705","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-06-01 04:06:56,"H",NA,FALSE,2.33887731481481,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1BF1A257B0","Summer","CCW05270.RF2","REDFL","Upper Salmon",2005-10-05,"Observation",2006-06-03 12:15:05,"H",NA,FALSE,3.47222222222222e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF1A257B0","Summer","CCW05270.RF2","REDFL","Upper Salmon",2005-10-05,"Observation",2006-06-03 12:15:08,"H",NA,FALSE,3.10943287037037,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1BF1A257B0","Summer","CCW05270.RF2","REDFL","Upper Salmon",2005-10-05,"Observation",2006-06-06 14:52:48,"H",NA,FALSE,4.62962962962963e-05,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1BF1A257B0","Summer","CCW05270.RF2","REDFL","Upper Salmon",2005-10-05,"Observation",2006-06-06 14:52:52,"H",NA,FALSE,-42.0686574074074,"sockeye"
"ALTULC",NA,"3D9.1BF1A2ACD5","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Recapture",2006-04-25 13:14:00,"H",NA,FALSE,26.4203472222222,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1BF1A2ACD5","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-21 23:19:23,"H",NA,FALSE,3.47222222222222e-05,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1BF1A2ACD5","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-21 23:19:26,"H",NA,FALSE,0.0246875,"sockeye"
"GOJ","ADULT FISH RETURN","3D9.1BF1A2BB50","Summer","CCW05270.AL1","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-21 23:54:59,"H",80,FALSE,1.15740740740741e-05,"sockeye"
"GOJ","ADULT FISH RETURN","3D9.1BF1A2BB50","Summer","CCW05270.AL1","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-21 23:55:00,"H",80,FALSE,-1.58585648148148,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF1A2C150","Summer","CCW05270.AL1","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-20 09:51:35,"H",81,FALSE,1.15740740740741e-05,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF1A2C150","Summer","CCW05270.AL1","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-20 09:51:36,"H",81,FALSE,13.9425925925926,"sockeye"
"TWX","PRIMARY TRAWL","3D9.1BF1A2C150","Summer","CCW05270.AL1","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-06-03 10:50:37,"H",81,FALSE,1.15740740740741e-05,"sockeye"
"TWX","PRIMARY TRAWL","3D9.1BF1A2C150","Summer","CCW05270.AL1","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-06-03 10:50:38,"H",81,FALSE,2.50431712962963,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF1A667D4","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-06-05 22:57:03,"H",NA,FALSE,1.15740740740741e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF1A667D4","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-06-05 22:57:04,"H",NA,FALSE,1.10694444444444,"sockeye"
"LMJ","B-DIVERSION","3D9.1BF1A667D4","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-06-07 01:31:11,"H",NA,FALSE,0.113194444444444,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF1A667D4","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-06-07 04:14:11,"H",NA,FALSE,-755.427581018518,"sockeye"
"GRJ","RACEWAY EAST","3D9.1BF1A71E74","Summer","CCW04126.RLC","RLCTRP","Upper Salmon",2004-05-05,"Observation",2004-05-12 17:58:34,"W",114,FALSE,1.15740740740741e-05,"sockeye"
"GRJ","RACEWAY EAST","3D9.1BF1A71E74","Summer","CCW04126.RLC","RLCTRP","Upper Salmon",2004-05-05,"Observation",2004-05-12 17:58:35,"W",114,FALSE,5.67497685185185,"sockeye"
"TWX","LARGE TRAWL","3D9.1BF1A71E74","Summer","CCW04126.RLC","RLCTRP","Upper Salmon",2004-05-05,"Observation",2004-05-18 10:10:33,"W",114,FALSE,3.47222222222222e-05,"sockeye"
"TWX","LARGE TRAWL","3D9.1BF1A71E74","Summer","CCW04126.RLC","RLCTRP","Upper Salmon",2004-05-05,"Observation",2004-05-18 10:10:36,"W",114,FALSE,777.966736111111,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF1A71E74","Summer","CCW04126.RLC","RLCTRP","Upper Salmon",2004-05-05,"Observation",2006-07-05 09:36:04,"W",114,FALSE,0.00368055555555556,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF1A71E74","Summer","CCW04126.RLC","RLCTRP","Upper Salmon",2004-05-05,"Observation",2006-07-05 09:41:22,"W",114,FALSE,4.46585648148148,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF1A71E74","Summer","CCW04126.RLC","RLCTRP","Upper Salmon",2004-05-05,"Observation",2006-07-09 20:52:12,"W",114,FALSE,0.00273148148148148,"sockeye"
"MC1","COUNTING WINDOW","3D9.1BF1A71E74","Summer","CCW04126.RLC","RLCTRP","Upper Salmon",2004-05-05,"Observation",2006-07-09 20:56:08,"W",114,FALSE,1.47962962962963,"sockeye"
"ICH","RIGHT LADDER WEIR 438 [S/O]","3D9.1BF1A71E74","Summer","CCW04126.RLC","RLCTRP","Upper Salmon",2004-05-05,"Observation",2006-07-11 08:30:26,"W",114,FALSE,0.00108796296296296,"sockeye"
"ICH","RIGHT LADDER WEIR 438 [S/O]","3D9.1BF1A71E74","Summer","CCW04126.RLC","RLCTRP","Upper Salmon",2004-05-05,"Observation",2006-07-11 08:32:00,"W",114,FALSE,4.94864583333333,"sockeye"
"GRA","WEIR 733","3D9.1BF1A71E74","Summer","CCW04126.RLC","RLCTRP","Upper Salmon",2004-05-05,"Observation",2006-07-16 09:52:42,"W",114,FALSE,1.15740740740741e-05,"sockeye"
"GRA","WEIR 733","3D9.1BF1A71E74","Summer","CCW04126.RLC","RLCTRP","Upper Salmon",2004-05-05,"Observation",2006-07-16 09:52:43,"W",114,FALSE,-55.7168865740741,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF1A72014","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-21 16:40:37,"H",NA,FALSE,1.15740740740741e-05,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF1A72014","Summer","CCW05270.AL2","ALTURL","Upper Salmon",2005-10-05,"Observation",2006-05-21 16:40:38,"H",NA,FALSE,14.4976157407407,"sockeye"
"LMJ","B-DIVERSION","3D9.1BF1A7444A","Summer","CCW05270.RF2","REDFL","Upper Salmon",2005-10-05,"Observation",2006-06-05 04:37:19,"H",NA,FALSE,0.0336689814814815,"sockeye"
