"tag_id","obs_site","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"384.3B23A5ADB1","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-25 05:42:55,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","TWX","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-27 22:06:47,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-26 11:20:42,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-26 11:20:46,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-25 05:42:56,"H",NA,FALSE,"sockeye"
"384.3B23A5ADB1","JDJ","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-25 09:58:46,"H",NA,FALSE,"sockeye"
"3D9.1C2D82239C","GOJ","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-19 12:31:46,"H",143,FALSE,"sockeye"
"3D9.1C2D82239C","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-02 14:56:09,"H",143,FALSE,"sockeye"
"3D9.1C2D82239C","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-01 10:58:19,"H",143,FALSE,"sockeye"
"3D9.1C2D82239C","GOJ","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2014-05-19 12:31:44,"H",143,FALSE,"sockeye"
"3D9.1C2D82239C","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-01 10:58:18,"H",143,FALSE,"sockeye"
"3D9.1C2D82239C","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-07-02 14:56:08,"H",143,FALSE,"sockeye"
"3D9.1C2D895279","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-27 19:01:07,"H",127,FALSE,"sockeye"
"3D9.1C2D895279","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-29 11:00:18,"H",127,FALSE,"sockeye"
"3D9.1C2D895279","TD1","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-29 11:00:17,"H",127,FALSE,"sockeye"
"3D9.1C2D895279","BO4","Summer","RLCTRP","Upper Salmon",2014-05-08,"Observation",2017-06-27 19:01:08,"H",127,FALSE,"sockeye"
"3DD.007739FF97","ICH","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-12 16:56:53,"H",173,FALSE,"sockeye"
"3DD.007739FF97","LMA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-13 22:00:45,"H",173,FALSE,"sockeye"
"3DD.007739FF97","USE","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-08-12 12:36:05,"H",173,FALSE,"sockeye"
"3DD.007739FF97","GOA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-15 08:45:09,"H",173,FALSE,"sockeye"
"3DD.007739FF97","MCJ","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2015-05-21 00:22:59,"H",173,FALSE,"sockeye"
"3DD.007739FF97","RLCTRP","Summer","RLCTRP","Upper Salmon",2015-05-07,"Recovery",2017-09-20 09:00:00,"H",173,FALSE,"sockeye"
"3DD.007739FF97","MCJ","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2015-05-21 00:23:00,"H",173,FALSE,"sockeye"
"3DD.007739FF97","TD1","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-08 15:36:23,"H",173,FALSE,"sockeye"
"3DD.007739FF97","ICH","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-12 16:56:40,"H",173,FALSE,"sockeye"
"3DD.007739FF97","JDALD2","Summer","RLCTRP","Upper Salmon",2015-05-07,"Passive Recapture",2017-07-09 09:03:47,"H",173,FALSE,"sockeye"
"3DD.007739FF97","GOA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-15 08:45:10,"H",173,FALSE,"sockeye"
"3DD.007739FF97","BO4","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-07 11:15:14,"H",173,FALSE,"sockeye"
"3DD.007739FF97","BO4","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-07 11:15:15,"H",173,FALSE,"sockeye"
"3DD.007739FF97","USE","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-08-12 12:33:56,"H",173,FALSE,"sockeye"
"3DD.007739FF97","TD1","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-08 15:36:24,"H",173,FALSE,"sockeye"
"3DD.007739FF97","GRA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-17 17:00:23,"H",173,FALSE,"sockeye"
"3DD.007739FF97","LMA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-13 22:00:44,"H",173,FALSE,"sockeye"
"3DD.007739FF97","MC1","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-11 10:52:39,"H",173,FALSE,"sockeye"
"3DD.007739FF97","MC1","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-11 10:52:38,"H",173,FALSE,"sockeye"
"3DD.007739FF97","GRA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-16 19:24:37,"H",173,FALSE,"sockeye"
"3DD.007739FF97","GRA","Summer","RLCTRP","Upper Salmon",2015-05-07,"Observation",2017-07-17 17:00:24,"H",173,FALSE,"sockeye"
