"obs_site","ant","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"GRJ","RCWY-10 GATE","3D9.1C2CFDBB2B","Summer","AMERR","South Fork Clearwater","2009-08-05","Observation","2011-05-11 09:59:59","W",98,TRUE,"steelhead"
"GRJ","RACEWAY EAST","3D9.1C2CFDBB2B","Summer","AMERR","South Fork Clearwater","2009-08-05","Observation","2011-05-11 10:00:12","W",98,TRUE,"steelhead"
"GOJ","B-RACEWAY / RIVER EXIT","3D9.1C2CFE78E4","Summer","AMERR","South Fork Clearwater","2009-07-22","Observation","2011-05-18 00:27:02","W",124,TRUE,"steelhead"
"GOJ","B-RACEWAY / RIVER EXIT","3D9.1C2CFE78E4","Summer","AMERR","South Fork Clearwater","2009-07-22","Observation","2011-05-18 00:27:03","W",124,TRUE,"steelhead"
"AMERR",NA,"3D9.1C2D4AE299","Summer","AMERR","South Fork Clearwater","2010-07-08","Recapture","2010-09-15 08:22:00","W",155,FALSE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1C2D4AE299","Summer","AMERR","South Fork Clearwater","2010-07-08","Observation","2011-05-12 20:26:18","W",155,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1C2D4AE299","Summer","AMERR","South Fork Clearwater","2010-07-08","Observation","2011-05-12 20:26:19","W",155,TRUE,"steelhead"
"LMJ","B-SEPARATOR GATE","3D9.1C2D4B356A","Summer","AMERR","South Fork Clearwater","2010-09-02","Observation","2011-05-13 20:09:19","W",163,FALSE,"steelhead"
"LMJ","B-SEPARATOR GATE","3D9.1C2D4B356A","Summer","AMERR","South Fork Clearwater","2010-09-02","Observation","2011-05-13 20:09:20","W",163,FALSE,"steelhead"
"ESANIS",NA,"3D9.1C2D4B356A","Summer","AMERR","South Fork Clearwater","2010-09-02","Recovery","2011-09-20 00:00:00","W",163,FALSE,"steelhead"
"AMERR",NA,"3D9.1C2D8B506E","Summer","AMERR","South Fork Clearwater","2011-05-05","Recapture","2011-05-06 10:03:00","W",174,FALSE,"steelhead"
"GRJ","A-SEPARATOR GATE","3D9.1C2D8B506E","Summer","AMERR","South Fork Clearwater","2011-05-05","Observation","2011-05-11 22:57:42","W",174,FALSE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1C2D8B506E","Summer","AMERR","South Fork Clearwater","2011-05-05","Observation","2011-05-11 22:57:48","W",174,TRUE,"steelhead"
"GRJ","EAST RACEWAY 10","3D9.1C2D8E04DC","Summer","AMERR","South Fork Clearwater","2011-04-21","Observation","2011-05-01 22:44:20","W",220,TRUE,"steelhead"
"GRJ","EAST RACEWAY 10","3D9.1C2D8E04DC","Summer","AMERR","South Fork Clearwater","2011-04-21","Observation","2011-05-01 22:44:21","W",220,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1C2D8E0FA5","Summer","AMERR","South Fork Clearwater","2011-04-24","Observation","2011-05-07 19:51:48","W",189,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1C2D8E0FA5","Summer","AMERR","South Fork Clearwater","2011-04-24","Observation","2011-05-07 19:51:49","W",189,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1C2D8E185D","Summer","AMERR","South Fork Clearwater","2011-05-01","Observation","2011-05-09 22:14:58","W",198,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1C2D8E185D","Summer","AMERR","South Fork Clearwater","2011-05-01","Observation","2011-05-09 22:14:59","W",198,TRUE,"steelhead"
"GOJ","DIVERSION SBYC GATE","3D9.1C2D8E1AC7","Summer","AMERR","South Fork Clearwater","2011-04-17","Observation","2011-05-10 23:36:29","W",174,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2D8E1AC7","Summer","AMERR","South Fork Clearwater","2011-04-17","Observation","2011-05-10 23:36:31","W",174,FALSE,"steelhead"
"ESANIS",NA,"3D9.1C2D8E1AC7","Summer","AMERR","South Fork Clearwater","2011-04-17","Recovery","2015-10-21 00:00:00","W",174,FALSE,"steelhead"
"GOJ","FULL FLOW BYPASS","3D9.1C2D8E5EAC","Summer","AMERR","South Fork Clearwater","2011-05-10","Observation","2011-05-19 17:52:59","W",195,FALSE,"steelhead"
"GOJ","DIVERSION SBYC GATE","3D9.1C2D8E5EAC","Summer","AMERR","South Fork Clearwater","2011-05-10","Observation","2011-05-22 07:00:13","W",195,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2D8E5EAC","Summer","AMERR","South Fork Clearwater","2011-05-10","Observation","2011-05-22 07:00:16","W",195,FALSE,"steelhead"
"LMJ","FULL FLOW BYPASS","3D9.1C2D8E5EAC","Summer","AMERR","South Fork Clearwater","2011-05-10","Observation","2011-05-23 19:52:03","W",195,FALSE,"steelhead"
"LMJ","FULL FLOW BYPASS","3D9.1C2D8E5EAC","Summer","AMERR","South Fork Clearwater","2011-05-10","Observation","2011-05-23 19:52:06","W",195,FALSE,"steelhead"
"LMJ","B-RACEWAY","3D9.1C2D8E7956","Summer","AMERR","South Fork Clearwater","2011-04-28","Observation","2011-05-13 00:07:55","W",205,TRUE,"steelhead"
"LMJ","B-RACEWAY","3D9.1C2D8E7956","Summer","AMERR","South Fork Clearwater","2011-04-28","Observation","2011-05-13 00:07:56","W",205,TRUE,"steelhead"
"GOJ","A-SEPARATOR GATE","3D9.1C2D8E7F3B","Summer","AMERR","South Fork Clearwater","2011-04-21","Observation","2011-05-09 11:44:51","W",167,FALSE,"steelhead"
