"tag_id","obs_site","ant","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"3D9.1C2C947B29","GRJ","RACEWAY EAST","Spring","AMERR","South Fork Clearwater","2008-10-18","Observation","2009-05-02 21:02:13","W",75,TRUE,"chinook"
"3D9.1C2C947B29","GRJ","RACEWAY EAST","Spring","AMERR","South Fork Clearwater","2008-10-18","Observation","2009-05-02 21:02:14","W",75,TRUE,"chinook"
"3D9.1C2C948560","GRJ","B-SEPARATOR GATE","Spring","AMERR","South Fork Clearwater","2008-10-15","Observation","2009-06-22 13:10:02","W",72,FALSE,"chinook"
"3D9.1C2C948560","GRJ","RACEWAY WEST / RIVER EXIT","Spring","AMERR","South Fork Clearwater","2008-10-15","Observation","2009-06-22 13:10:06","W",72,TRUE,"chinook"
"3D9.1C2C9485C2","GOJ","A-RACEWAY / RIVER EXIT","Spring","AMERR","South Fork Clearwater","2008-10-12","Observation","2009-05-02 22:16:50","W",76,FALSE,"chinook"
"3D9.1C2C9485C2","GOJ","A-RACEWAY / RIVER EXIT","Spring","AMERR","South Fork Clearwater","2008-10-12","Observation","2009-05-02 22:16:49","W",76,FALSE,"chinook"
"3D9.1C2C94A4A1","JDJ","RIVER EXIT","Spring","AMERR","South Fork Clearwater","2008-10-20","Observation","2009-06-02 12:28:41","W",71,FALSE,"chinook"
"3D9.1C2C94A4A1","AMERR",NA,"Spring","AMERR","South Fork Clearwater","2008-10-20","Recapture","2008-10-22 09:00:00","W",71,FALSE,"chinook"
"3D9.1C2C94A4A1","ICHFFB","FULL FLOW BYPASS","Spring","AMERR","South Fork Clearwater","2008-10-20","Observation","2009-05-26 20:51:58","W",71,FALSE,"chinook"
"3D9.1C2C94A4A1","JDJ","RIVER EXIT","Spring","AMERR","South Fork Clearwater","2008-10-20","Observation","2009-06-02 12:28:42","W",71,FALSE,"chinook"
"3D9.1C2C94A4A1","ICHFFB","FULL FLOW BYPASS","Spring","AMERR","South Fork Clearwater","2008-10-20","Observation","2009-05-26 20:52:00","W",71,FALSE,"chinook"
"3D9.1C2C94A4A1","GRJ","DIVERSION RIVER EXIT","Spring","AMERR","South Fork Clearwater","2008-10-20","Observation","2009-05-21 07:17:55","W",71,FALSE,"chinook"
"3D9.1C2C94A4A1","GRJ","DIVERSION RIVER EXIT","Spring","AMERR","South Fork Clearwater","2008-10-20","Observation","2009-05-21 07:17:54","W",71,FALSE,"chinook"
"3D9.1C2C94B2F4","JDJ","RIVER EXIT","Spring","AMERR","South Fork Clearwater","2008-04-24","Observation","2009-05-15 00:17:42","W",78,FALSE,"chinook"
"3D9.1C2C94B2F4","MCJ","RIVER-2 EXIT","Spring","AMERR","South Fork Clearwater","2008-04-24","Observation","2009-04-28 13:58:36","W",78,FALSE,"chinook"
"3D9.1C2C94B2F4","TWX","MATRIX [EXPERIMENTAL] TRAWL","Spring","AMERR","South Fork Clearwater","2008-04-24","Observation","2009-05-18 21:07:53","W",78,FALSE,"chinook"
"3D9.1C2C94B2F4","MCJ","SBYC A-RACEWAY RIVER GATE","Spring","AMERR","South Fork Clearwater","2008-04-24","Observation","2009-04-28 13:58:11","W",78,FALSE,"chinook"
"3D9.1C2C94B2F4","JDJ","RIVER EXIT","Spring","AMERR","South Fork Clearwater","2008-04-24","Observation","2009-05-15 00:17:43","W",78,FALSE,"chinook"
"3D9.1C2C94B2F4","TWX","MATRIX [EXPERIMENTAL] TRAWL","Spring","AMERR","South Fork Clearwater","2008-04-24","Observation","2009-05-18 21:07:50","W",78,FALSE,"chinook"
"3D9.1C2C94BA30","GOJ","DIVERSION SBYC GATE","Spring","AMERR","South Fork Clearwater","2008-04-26","Observation","2009-04-25 21:49:59","W",77,FALSE,"chinook"
"3D9.1C2C94BA30","GRJ","DIVERSION / SBYC GATE","Spring","AMERR","South Fork Clearwater","2008-04-26","Observation","2009-04-19 01:33:37","W",77,FALSE,"chinook"
"3D9.1C2C94BA30","GRJ","DIVERSION RIVER EXIT","Spring","AMERR","South Fork Clearwater","2008-04-26","Observation","2009-04-19 01:33:39","W",77,FALSE,"chinook"
"3D9.1C2C94BA30","GOJ","DIVERSION RIVER EXIT","Spring","AMERR","South Fork Clearwater","2008-04-26","Observation","2009-04-25 21:50:01","W",77,FALSE,"chinook"
"3D9.1C2C94BB99","GOJ","A-RACEWAY / RIVER EXIT","Spring","AMERR","South Fork Clearwater","2008-08-30","Observation","2009-04-27 11:23:18","W",70,FALSE,"chinook"
"3D9.1C2C94BB99","LMJ","A-SEPARATOR GATE","Spring","AMERR","South Fork Clearwater","2008-08-30","Observation","2009-04-29 15:30:47","W",70,FALSE,"chinook"
"3D9.1C2C94BB99","MCJ","RIVER-2 EXIT","Spring","AMERR","South Fork Clearwater","2008-08-30","Observation","2009-05-04 19:48:40","W",70,FALSE,"chinook"
