"obs_site","ant","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"BO2","WEIR 51","3D9.1C2C41D8EB","Summer","ALTULC","Upper Salmon","2008-05-13","Observation","2010-07-06 13:33:26","W",87,FALSE,"sockeye"
"BO2","WEIR 52","3D9.1C2C41D8EB","Summer","ALTULC","Upper Salmon","2008-05-13","Observation","2010-07-06 13:33:47","W",87,FALSE,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1C2C41D8EB","Summer","ALTULC","Upper Salmon","2008-05-13","Observation","2010-07-06 15:46:42","W",87,FALSE,"sockeye"
"BO4","VERTICAL SLOT DETECTORS","3D9.1C2C41D8EB","Summer","ALTULC","Upper Salmon","2008-05-13","Observation","2010-07-06 15:46:43","W",87,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2CFE65AB","Summer","ALTULC","Upper Salmon","2010-05-05","Observation","2010-05-28 19:19:33","W",117,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2CFE65AB","Summer","ALTULC","Upper Salmon","2010-05-05","Observation","2010-05-28 19:19:34","W",117,FALSE,"sockeye"
"FOUNDI",NA,"3D9.1C2CFE65AB","Summer","ALTULC","Upper Salmon","2010-05-05","Recovery","2010-09-17 12:00:00","W",117,FALSE,"sockeye"
"LMJ","B-DIVERSION","3D9.1C2D3CA628","Summer","ALTULC","Upper Salmon","2010-05-22","Observation","2010-06-06 03:41:29","W",85,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1C2D3CA628","Summer","ALTULC","Upper Salmon","2010-05-22","Observation","2010-06-06 03:41:52","W",85,FALSE,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2C3B1081","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-29 21:54:18","W",120,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2C3B1081","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-29 21:54:20","W",120,FALSE,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2C424910","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-26 20:46:45","W",119,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2C424910","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-26 20:46:47","W",119,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1C2C424910","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-29 01:14:34","W",119,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2C424910","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-29 01:14:37","W",119,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1C2CF1437B","Summer","PETTLC","Upper Salmon","2010-05-17","Observation","2010-06-03 04:33:37","W",123,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2CF1437B","Summer","PETTLC","Upper Salmon","2010-05-17","Observation","2010-06-03 04:33:40","W",123,FALSE,"sockeye"
"LMJ","FULL FLOW BYPASS","3D9.1C2CF1437B","Summer","PETTLC","Upper Salmon","2010-05-17","Observation","2010-06-04 03:23:15","W",123,FALSE,"sockeye"
"LMJ","ADULT FISH RETURN","3D9.1C2CF1437B","Summer","PETTLC","Upper Salmon","2010-05-17","Observation","2010-06-04 07:33:14","W",123,FALSE,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1C2CF1437B","Summer","PETTLC","Upper Salmon","2010-05-17","Observation","2010-06-04 23:01:30","W",123,FALSE,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1C2CF1437B","Summer","PETTLC","Upper Salmon","2010-05-17","Observation","2010-06-04 23:01:32","W",123,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2CF15494","Summer","PETTLC","Upper Salmon","2010-05-13","Observation","2010-05-27 21:41:22","W",121,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2CF15494","Summer","PETTLC","Upper Salmon","2010-05-13","Observation","2010-05-27 21:41:23","W",121,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1C2CF15494","Summer","PETTLC","Upper Salmon","2010-05-13","Observation","2010-06-01 15:46:19","W",121,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1C2CF15494","Summer","PETTLC","Upper Salmon","2010-05-13","Observation","2010-06-01 15:46:20","W",121,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1C2CF1AF0F","Summer","PETTLC","Upper Salmon","2010-05-13","Observation","2010-06-05 13:46:30","W",129,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1C2CF1AF0F","Summer","PETTLC","Upper Salmon","2010-05-13","Observation","2010-06-05 13:46:31","W",129,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1C2CF1D3A9","Summer","PETTLC","Upper Salmon","2010-05-18","Observation","2010-06-07 00:56:19","W",120,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1C2CF1D3A9","Summer","PETTLC","Upper Salmon","2010-05-18","Observation","2010-06-07 00:56:20","W",120,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1C2CFD9982","Summer","PETTLC","Upper Salmon","2010-05-16","Observation","2010-06-05 21:10:20","W",120,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1C2CFD9982","Summer","PETTLC","Upper Salmon","2010-05-16","Observation","2010-06-05 21:10:21","W",120,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1C2CFDAEE7","Summer","PETTLC","Upper Salmon","2010-05-16","Observation","2010-05-30 22:27:35","W",119,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2CFDAEE7","Summer","PETTLC","Upper Salmon","2010-05-16","Observation","2010-05-30 22:27:38","W",119,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1C2CFDB59C","Summer","PETTLC","Upper Salmon","2010-05-17","Observation","2010-05-30 21:49:42","W",114,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2CFDB59C","Summer","PETTLC","Upper Salmon","2010-05-17","Observation","2010-05-30 21:49:45","W",114,FALSE,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2CFDC41F","Summer","PETTLC","Upper Salmon","2010-05-13","Observation","2010-05-25 00:04:20","W",128,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2CFDC41F","Summer","PETTLC","Upper Salmon","2010-05-13","Observation","2010-05-25 00:04:22","W",128,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1C2CFDC7B2","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-26 02:55:19","W",120,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2CFDC7B2","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-26 02:55:22","W",120,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2CFDEBEF","Summer","PETTLC","Upper Salmon","2010-05-13","Observation","2010-05-28 16:13:39","W",117,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2CFDEBEF","Summer","PETTLC","Upper Salmon","2010-05-13","Observation","2010-05-28 16:13:40","W",117,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2CFDF1B2","Summer","PETTLC","Upper Salmon","2010-05-12","Observation","2010-05-26 01:57:03","W",117,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2CFDF1B2","Summer","PETTLC","Upper Salmon","2010-05-12","Observation","2010-05-26 01:57:04","W",117,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1C2CFE087D","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-29 01:22:29","W",122,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2CFE087D","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-29 01:22:31","W",122,FALSE,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1C2CFE087D","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-06-20 01:11:36","W",122,FALSE,"sockeye"
"MCJ","ADULT FISH RETURN","3D9.1C2CFE087D","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-06-20 01:28:02","W",122,FALSE,"sockeye"
"LMJ","A-DIVERSION","3D9.1C2CFE0F82","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-29 22:42:32","W",111,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1C2CFE0F82","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-29 22:44:17","W",111,FALSE,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2CFE5BAE","Summer","PETTLC","Upper Salmon","2010-05-16","Observation","2010-05-31 01:28:53","W",118,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2CFE5BAE","Summer","PETTLC","Upper Salmon","2010-05-16","Observation","2010-05-31 01:28:55","W",118,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1C2CFE6CBA","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-30 02:15:09","W",119,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1C2CFE6CBA","Summer","PETTLC","Upper Salmon","2010-05-14","Observation","2010-05-30 02:15:10","W",119,FALSE,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2CFE7EE1","Summer","PETTLC","Upper Salmon","2010-05-16","Observation","2010-05-28 21:28:21","W",120,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2CFE7EE1","Summer","PETTLC","Upper Salmon","2010-05-16","Observation","2010-05-28 21:28:23","W",120,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1C2CFE8585","Summer","PETTLC","Upper Salmon","2010-05-13","Observation","2010-05-27 21:48:03","W",126,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2CFE8585","Summer","PETTLC","Upper Salmon","2010-05-13","Observation","2010-05-27 21:48:05","W",126,FALSE,"sockeye"
