"obs_site","ant","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"AMERR",NA,"3D9.1BF13A43C5","Summer","AMERR","South Fork Clearwater","2006-06-15","Recapture","2006-06-18 12:36:00","W",83,FALSE,"steelhead"
"GRJ","DIVERSION / SBYC GATE","3D9.1BF13A43C5","Summer","AMERR","South Fork Clearwater","2006-06-15","Observation","2008-05-06 04:36:17","W",83,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF13A43C5","Summer","AMERR","South Fork Clearwater","2006-06-15","Observation","2008-05-06 04:36:19","W",83,FALSE,"steelhead"
"GOJ","DIVERSION SBYC GATE","3D9.1BF13A518C","Summer","AMERR","South Fork Clearwater","2006-06-15","Observation","2008-05-10 20:10:56","W",90,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF13A518C","Summer","AMERR","South Fork Clearwater","2006-06-15","Observation","2008-05-10 20:10:58","W",90,FALSE,"steelhead"
"MCJ","RIVER-2 EXIT","3D9.1BF13A518C","Summer","AMERR","South Fork Clearwater","2006-06-15","Observation","2008-05-14 20:35:37","W",90,FALSE,"steelhead"
"MCJ","RIVER-2 EXIT","3D9.1BF13A518C","Summer","AMERR","South Fork Clearwater","2006-06-15","Observation","2008-05-14 20:35:38","W",90,FALSE,"steelhead"
"GRJ","DIVERSION / SBYC GATE","3D9.1BF2594A74","Summer","AMERR","South Fork Clearwater","2007-03-26","Observation","2008-05-12 21:02:38","W",142,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF2594A74","Summer","AMERR","South Fork Clearwater","2007-03-26","Observation","2008-05-12 21:02:40","W",142,FALSE,"steelhead"
"GOJ","DIVERSION SBYC GATE","3D9.1BF2594A74","Summer","AMERR","South Fork Clearwater","2007-03-26","Observation","2008-05-15 21:35:34","W",142,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF2594A74","Summer","AMERR","South Fork Clearwater","2007-03-26","Observation","2008-05-15 21:35:36","W",142,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF259D13C","Summer","AMERR","South Fork Clearwater","2007-05-30","Observation","2008-05-22 12:24:24","W",122,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF259D13C","Summer","AMERR","South Fork Clearwater","2007-05-30","Observation","2008-05-22 12:24:25","W",122,FALSE,"steelhead"
"GOJ","DIVERSION SBYC GATE","3D9.1BF259D13C","Summer","AMERR","South Fork Clearwater","2007-05-30","Observation","2008-05-24 06:17:06","W",122,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF259D13C","Summer","AMERR","South Fork Clearwater","2007-05-30","Observation","2008-05-24 06:17:08","W",122,FALSE,"steelhead"
"LMJ","B-DIVERSION","3D9.1BF259D13C","Summer","AMERR","South Fork Clearwater","2007-05-30","Observation","2008-05-25 21:25:18","W",122,FALSE,"steelhead"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF259D13C","Summer","AMERR","South Fork Clearwater","2007-05-30","Observation","2008-05-25 21:28:30","W",122,FALSE,"steelhead"
"AMERR",NA,"3D9.1BF25A7998","Summer","AMERR","South Fork Clearwater","2007-05-27","Recapture","2007-05-28 08:07:00","W",115,FALSE,"steelhead"
"GRJ","DIVERSION / SBYC GATE","3D9.1BF25A7998","Summer","AMERR","South Fork Clearwater","2007-05-27","Observation","2008-05-09 05:40:36","W",115,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF25A7998","Summer","AMERR","South Fork Clearwater","2007-05-27","Observation","2008-05-09 05:40:38","W",115,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF25A7998","Summer","AMERR","South Fork Clearwater","2007-05-27","Observation","2008-05-11 22:11:05","W",115,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF25A7998","Summer","AMERR","South Fork Clearwater","2007-05-27","Observation","2008-05-11 22:11:06","W",115,FALSE,"steelhead"
"MCJ","RIVER-1 EXIT","3D9.1BF25A7998","Summer","AMERR","South Fork Clearwater","2007-05-27","Observation","2008-05-16 21:04:17","W",115,FALSE,"steelhead"
"MCJ","RIVER-1 EXIT","3D9.1BF25A7998","Summer","AMERR","South Fork Clearwater","2007-05-27","Observation","2008-05-16 21:04:18","W",115,FALSE,"steelhead"
"ROCKIS",NA,"3D9.1BF25A7998","Summer","AMERR","South Fork Clearwater","2007-05-27","Recovery","2008-07-23 12:00:00","W",115,FALSE,"steelhead"
"GOJ","DIVERSION SBYC GATE","3D9.1BF25A890D","Summer","AMERR","South Fork Clearwater","2007-05-14","Observation","2008-05-31 21:45:53","W",97,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF25A890D","Summer","AMERR","South Fork Clearwater","2007-05-14","Observation","2008-05-31 21:45:56","W",97,FALSE,"steelhead"
"ESANIS",NA,"3D9.1BF25A890D","Summer","AMERR","South Fork Clearwater","2007-05-14","Recovery","2008-11-17 12:00:00","W",97,FALSE,"steelhead"
"AMERR",NA,"3D9.1BF25F5902","Summer","AMERR","South Fork Clearwater","2007-03-24","Recapture","2007-03-25 09:04:00","W",128,FALSE,"steelhead"
"LMJ","B-DIVERSION","3D9.1BF25F5902","Summer","AMERR","South Fork Clearwater","2007-03-24","Observation","2008-05-22 22:30:55","W",128,FALSE,"steelhead"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF25F5902","Summer","AMERR","South Fork Clearwater","2007-03-24","Observation","2008-05-22 22:32:03","W",128,FALSE,"steelhead"
