"obs_site","ant","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF231E222","Summer","AMERR","South Fork Clearwater","2010-05-19","Observation","2010-05-30 21:40:19","W",144,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF231E222","Summer","AMERR","South Fork Clearwater","2010-05-19","Observation","2010-05-30 21:40:20","W",144,FALSE,"steelhead"
"MCJ","FULL FLOW BYPASS","3D9.1BF231E222","Summer","AMERR","South Fork Clearwater","2010-05-19","Observation","2010-06-04 17:29:58","W",144,FALSE,"steelhead"
"MCJ","FULL FLOW BYPASS","3D9.1BF231E222","Summer","AMERR","South Fork Clearwater","2010-05-19","Observation","2010-06-04 17:30:02","W",144,FALSE,"steelhead"
"GRJ","EAST RACEWAY 10","3D9.1BF231E454","Summer","AMERR","South Fork Clearwater","2010-05-16","Observation","2010-05-23 21:02:53","W",173,TRUE,"steelhead"
"GRJ","EAST RACEWAY 10","3D9.1BF231E454","Summer","AMERR","South Fork Clearwater","2010-05-16","Observation","2010-05-23 21:02:54","W",173,TRUE,"steelhead"
"ESANIS",NA,"3D9.1BF231E454","Summer","AMERR","South Fork Clearwater","2010-05-16","Recovery","2010-10-15 12:00:00","W",173,FALSE,"steelhead"
"GRJ","RACEWAY EAST","3D9.1BF231E6B0","Summer","AMERR","South Fork Clearwater","2010-05-19","Observation","2010-05-27 06:46:44","W",162,TRUE,"steelhead"
"GRJ","RACEWAY EAST","3D9.1BF231E6B0","Summer","AMERR","South Fork Clearwater","2010-05-19","Observation","2010-05-27 06:46:46","W",162,TRUE,"steelhead"
"GRJ","B-SEPARATOR GATE","3D9.1BF231EB83","Summer","AMERR","South Fork Clearwater","2010-05-16","Observation","2010-05-21 21:58:06","W",169,FALSE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF231EB83","Summer","AMERR","South Fork Clearwater","2010-05-16","Observation","2010-05-21 21:58:11","W",169,TRUE,"steelhead"
"ESANIS",NA,"3D9.1BF231EB83","Summer","AMERR","South Fork Clearwater","2010-05-16","Recovery","2010-10-15 12:00:00","W",169,FALSE,"steelhead"
"GOJ","B-SEPARATOR GATE","3D9.1BF231F8AB","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-05-28 21:46:29","W",167,FALSE,"steelhead"
"GOJ","B-RACEWAY / RIVER EXIT","3D9.1BF231F8AB","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-05-28 21:46:33","W",167,TRUE,"steelhead"
"GOJ","A-SEPARATOR GATE","3D9.1BF231F99C","Summer","AMERR","South Fork Clearwater","2010-05-19","Observation","2010-05-26 21:22:33","W",143,FALSE,"steelhead"
"GOJ","A-RACEWAY / RIVER EXIT","3D9.1BF231F99C","Summer","AMERR","South Fork Clearwater","2010-05-19","Observation","2010-05-26 21:22:38","W",143,TRUE,"steelhead"
"AMERR",NA,"3D9.1BF231FAFB","Summer","AMERR","South Fork Clearwater","2010-05-16","Recapture","2010-05-17 09:27:00","W",142,FALSE,"steelhead"
"GOJ","FULL FLOW BYPASS","3D9.1BF231FAFB","Summer","AMERR","South Fork Clearwater","2010-05-16","Observation","2010-05-29 01:57:06","W",142,FALSE,"steelhead"
"GOJ","A-RACEWAY / RIVER EXIT","3D9.1BF231FAFB","Summer","AMERR","South Fork Clearwater","2010-05-16","Observation","2010-05-29 20:03:49","W",142,TRUE,"steelhead"
"GOJ","A-RACEWAY / RIVER EXIT","3D9.1BF231FAFB","Summer","AMERR","South Fork Clearwater","2010-05-16","Observation","2010-05-29 20:03:50","W",142,TRUE,"steelhead"
"GRJ","RACEWAY EAST","3D9.1BF23E53E3","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-05-23 10:44:22","W",150,TRUE,"steelhead"
"GRJ","RACEWAY EAST","3D9.1BF23E53E3","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-05-23 10:44:23","W",150,TRUE,"steelhead"
"ESANIS",NA,"3D9.1BF23E53E3","Summer","AMERR","South Fork Clearwater","2010-05-18","Recovery","2011-09-12 00:00:00","W",150,FALSE,"steelhead"
"GRJ","B-SEPARATOR GATE","3D9.1BF23E60D9","Summer","AMERR","South Fork Clearwater","2010-05-15","Observation","2010-05-20 22:32:44","W",173,FALSE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF23E60D9","Summer","AMERR","South Fork Clearwater","2010-05-15","Observation","2010-05-20 22:32:49","W",173,TRUE,"steelhead"
"GRJ","B-SEPARATOR GATE","3D9.1BF23E623B","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-05-24 00:21:57","W",153,FALSE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF23E623B","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-05-24 00:22:02","W",153,TRUE,"steelhead"
"GRJ","DIVERSION / SBYC GATE","3D9.1BF23E673A","Summer","AMERR","South Fork Clearwater","2010-05-15","Observation","2010-05-20 02:41:35","W",167,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF23E673A","Summer","AMERR","South Fork Clearwater","2010-05-15","Observation","2010-05-20 02:41:37","W",167,FALSE,"steelhead"
"AMERR",NA,"3D9.1BF23E6FD4","Summer","AMERR","South Fork Clearwater","2010-05-18","Recapture","2010-05-19 09:56:00","W",164,FALSE,"steelhead"
"GOJ","DIVERSION SBYC GATE","3D9.1BF23E6FD4","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-05-29 19:00:10","W",164,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF23E6FD4","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-05-29 19:00:13","W",164,FALSE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF23E71A2","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-05-22 22:00:29","W",185,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF23E71A2","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-05-22 22:00:30","W",185,TRUE,"steelhead"
"BCC","15X15 FULL-FLOW ANTENNA","3D9.1BF23E78BF","Summer","AMERR","South Fork Clearwater","2009-11-01","Observation","2010-05-09 07:45:04","W",192,FALSE,"steelhead"
"GRJ","RCWY-10 GATE","3D9.1BF23E7EB0","Summer","AMERR","South Fork Clearwater","2009-11-01","Observation","2010-04-23 01:16:08","W",172,TRUE,"steelhead"
"GRJ","RACEWAY EAST","3D9.1BF23E7EB0","Summer","AMERR","South Fork Clearwater","2009-11-01","Observation","2010-04-23 01:16:19","W",172,TRUE,"steelhead"
"GRJ","B-SEPARATOR GATE","3D9.1BF23E8AA5","Summer","AMERR","South Fork Clearwater","2010-05-17","Observation","2010-05-21 20:24:59","W",155,FALSE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF23E8AA5","Summer","AMERR","South Fork Clearwater","2010-05-17","Observation","2010-05-21 20:25:04","W",155,TRUE,"steelhead"
"BO3","WEIR 57","3D9.1BF23E8AA5","Summer","AMERR","South Fork Clearwater","2010-05-17","Observation","2012-09-15 09:19:06","W",155,FALSE,"steelhead"
"BO3","WEIR 58","3D9.1BF23E8AA5","Summer","AMERR","South Fork Clearwater","2010-05-17","Observation","2012-09-15 09:19:11","W",155,FALSE,"steelhead"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF23E8AA5","Summer","AMERR","South Fork Clearwater","2010-05-17","Observation","2012-09-15 10:02:15","W",155,FALSE,"steelhead"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF23E8AA5","Summer","AMERR","South Fork Clearwater","2010-05-17","Observation","2012-09-15 10:02:16","W",155,FALSE,"steelhead"
"COLR4",NA,"3D9.1BF23E8AA5","Summer","AMERR","South Fork Clearwater","2010-05-17","Recovery","2012-09-20 00:00:00","W",155,FALSE,"steelhead"
"MCJ","FULL FLOW BYPASS","3D9.1BF23E93F4","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-06-02 15:42:21","W",159,FALSE,"steelhead"
"MCJ","FULL FLOW BYPASS","3D9.1BF23E93F4","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-06-02 15:42:23","W",159,FALSE,"steelhead"
"JDJ","RIVER EXIT","3D9.1BF23E93F4","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-06-05 12:14:16","W",159,FALSE,"steelhead"
"JDJ","RIVER EXIT","3D9.1BF23E93F4","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-06-05 12:14:17","W",159,FALSE,"steelhead"
"GRJ","RACEWAY EAST","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-05-28 04:17:27","W",154,TRUE,"steelhead"
"GRJ","RACEWAY EAST","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2010-05-28 04:17:28","W",154,TRUE,"steelhead"
"BO3","WEIR 57","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2012-10-02 14:58:07","W",154,FALSE,"steelhead"
"BO3","WEIR 57","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2012-10-02 14:58:08","W",154,FALSE,"steelhead"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2012-10-02 15:39:03","W",154,FALSE,"steelhead"
"BO4","VERTICAL SLOT DETECTORS","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2012-10-02 15:39:04","W",154,FALSE,"steelhead"
"MC1","COUNTING WINDOW","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2012-11-09 10:38:15","W",154,FALSE,"steelhead"
"MC1","COUNTING WINDOW","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2012-11-09 10:38:16","W",154,FALSE,"steelhead"
"ICH","LEFT LADDER WEIR 438 [O/S]","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2013-03-24 10:03:54","W",154,FALSE,"steelhead"
"ICH","LEFT LADDER WEIR 438 [O/S]","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2013-03-24 10:03:55","W",154,FALSE,"steelhead"
"GRA","WEIR 732","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2013-04-06 22:54:20","W",154,FALSE,"steelhead"
"GRA","WEIR 733","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2013-04-06 22:54:36","W",154,FALSE,"steelhead"
"SC1","INSTREAM ARRAY","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2013-04-16 18:03:07","W",154,FALSE,"steelhead"
"SC2","INSTREAM ARRAY","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2013-04-16 19:39:17","W",154,FALSE,"steelhead"
"CRT","ADULT RETURN LADDER","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2013-05-27 14:17:50","W",154,FALSE,"steelhead"
"CRT","ADULT RETURN LADDER","3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Observation","2013-05-27 14:38:44","W",154,FALSE,"steelhead"
"CROTRP",NA,"3D9.1BF23E9544","Summer","AMERR","South Fork Clearwater","2010-05-18","Recapture","2013-05-28 11:45:00","W",154,FALSE,"steelhead"
"GRJ","EAST RACEWAY 10","3D9.1BF23E96DC","Summer","AMERR","South Fork Clearwater","2010-05-19","Observation","2010-05-25 21:11:54","W",154,TRUE,"steelhead"
"GRJ","EAST RACEWAY 10","3D9.1BF23E96DC","Summer","AMERR","South Fork Clearwater","2010-05-19","Observation","2010-05-25 21:11:55","W",154,TRUE,"steelhead"
"MCJ","SBYC B-RACEWAY RIVER GATE","3D9.1BF26B1922","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-24 00:30:22","W",180,FALSE,"steelhead"
"MCJ","RIVER-1 EXIT","3D9.1BF26B1922","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-24 00:31:17","W",180,FALSE,"steelhead"
"MCJ","FULL FLOW BYPASS","3D9.1BF26B1FCA","Summer","AMERR","South Fork Clearwater","2010-05-15","Observation","2010-05-27 14:06:00","W",159,FALSE,"steelhead"
"MCJ","FULL FLOW BYPASS","3D9.1BF26B1FCA","Summer","AMERR","South Fork Clearwater","2010-05-15","Observation","2010-05-27 14:06:03","W",159,FALSE,"steelhead"
"AMERR",NA,"3D9.1BF26B212B","Summer","AMERR","South Fork Clearwater","2010-05-10","Recapture","2010-05-11 11:24:00","W",162,FALSE,"steelhead"
"GOJ","A-SEPARATOR GATE","3D9.1BF26B212B","Summer","AMERR","South Fork Clearwater","2010-05-10","Observation","2010-05-21 00:55:00","W",162,FALSE,"steelhead"
"GOJ","A-RACEWAY / RIVER EXIT","3D9.1BF26B212B","Summer","AMERR","South Fork Clearwater","2010-05-10","Observation","2010-05-21 00:55:05","W",162,TRUE,"steelhead"
"TWX","MATRIX TRAWL [CURRENT]","3D9.1BF26B212B","Summer","AMERR","South Fork Clearwater","2010-05-10","Observation","2010-05-24 19:51:04","W",162,FALSE,"steelhead"
"TWX","MATRIX TRAWL [CURRENT]","3D9.1BF26B212B","Summer","AMERR","South Fork Clearwater","2010-05-10","Observation","2010-05-24 19:51:06","W",162,FALSE,"steelhead"
"GOJ","DIVERSION SBYC GATE","3D9.1BF26B3853","Summer","AMERR","South Fork Clearwater","2010-05-09","Observation","2010-05-19 23:38:16","W",163,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF26B3853","Summer","AMERR","South Fork Clearwater","2010-05-09","Observation","2010-05-19 23:38:19","W",163,FALSE,"steelhead"
"GOJ","B-SEPARATOR GATE","3D9.1BF26B3904","Summer","AMERR","South Fork Clearwater","2010-05-13","Observation","2010-05-21 21:20:10","W",157,FALSE,"steelhead"
"GOJ","B-RACEWAY / RIVER EXIT","3D9.1BF26B3904","Summer","AMERR","South Fork Clearwater","2010-05-13","Observation","2010-05-21 21:20:14","W",157,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF26B3BE0","Summer","AMERR","South Fork Clearwater","2010-05-14","Observation","2010-05-20 21:30:16","W",173,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF26B3BE0","Summer","AMERR","South Fork Clearwater","2010-05-14","Observation","2010-05-20 21:30:17","W",173,TRUE,"steelhead"
"AMERR",NA,"3D9.1BF26B409F","Summer","AMERR","South Fork Clearwater","2010-05-12","Recapture","2010-05-13 09:48:00","W",158,FALSE,"steelhead"
"GOJ","B-RACEWAY / RIVER EXIT","3D9.1BF26B409F","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-20 21:21:18","W",158,TRUE,"steelhead"
"GOJ","B-RACEWAY / RIVER EXIT","3D9.1BF26B409F","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-20 21:21:19","W",158,TRUE,"steelhead"
"GOJ","A-RACEWAY / RIVER EXIT","3D9.1BF26B43E9","Summer","AMERR","South Fork Clearwater","2010-05-14","Observation","2010-05-22 04:18:44","W",149,TRUE,"steelhead"
"GOJ","A-RACEWAY / RIVER EXIT","3D9.1BF26B43E9","Summer","AMERR","South Fork Clearwater","2010-05-14","Observation","2010-05-22 04:18:45","W",149,TRUE,"steelhead"
"ESANIS",NA,"3D9.1BF26B43E9","Summer","AMERR","South Fork Clearwater","2010-05-14","Recovery","2010-11-04 12:00:00","W",149,FALSE,"steelhead"
"GRJ","RACEWAY EAST","3D9.1BF26B44A7","Summer","AMERR","South Fork Clearwater","2010-05-15","Observation","2010-05-25 03:47:19","W",160,TRUE,"steelhead"
"GRJ","RACEWAY EAST","3D9.1BF26B44A7","Summer","AMERR","South Fork Clearwater","2010-05-15","Observation","2010-05-25 03:47:20","W",160,TRUE,"steelhead"
"GOJ","A-SEPARATOR GATE","3D9.1BF26B457C","Summer","AMERR","South Fork Clearwater","2010-05-11","Observation","2010-05-21 00:03:39","W",167,FALSE,"steelhead"
"GOJ","A-RACEWAY / RIVER EXIT","3D9.1BF26B457C","Summer","AMERR","South Fork Clearwater","2010-05-11","Observation","2010-05-21 00:03:42","W",167,TRUE,"steelhead"
"LMJ","A-RACEWAY","3D9.1BF26B465F","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-20 22:09:49","W",160,TRUE,"steelhead"
"LMJ","A-RACEWAY","3D9.1BF26B465F","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-20 22:09:50","W",160,TRUE,"steelhead"
"GOJ","A-SEPARATOR GATE","3D9.1BF26B4FB5","Summer","AMERR","South Fork Clearwater","2010-05-10","Observation","2010-05-19 22:04:22","W",164,FALSE,"steelhead"
"GOJ","A-RACEWAY / RIVER EXIT","3D9.1BF26B4FB5","Summer","AMERR","South Fork Clearwater","2010-05-10","Observation","2010-05-19 22:04:27","W",164,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF26B5781","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-19 22:47:31","W",180,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF26B5781","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-19 22:47:32","W",180,TRUE,"steelhead"
"AMERR",NA,"3D9.1BF26B5BD9","Summer","AMERR","South Fork Clearwater","2010-05-10","Recapture","2010-05-11 11:24:00","W",151,FALSE,"steelhead"
"GRJ","B-SEPARATOR GATE","3D9.1BF26B5BD9","Summer","AMERR","South Fork Clearwater","2010-05-10","Observation","2010-05-23 23:51:29","W",151,FALSE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF26B5BD9","Summer","AMERR","South Fork Clearwater","2010-05-10","Observation","2010-05-23 23:51:34","W",151,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF26B5E7F","Summer","AMERR","South Fork Clearwater","2010-05-14","Observation","2010-05-21 11:37:09","W",162,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF26B5E7F","Summer","AMERR","South Fork Clearwater","2010-05-14","Observation","2010-05-21 11:37:10","W",162,TRUE,"steelhead"
"BCC","15X15 FULL-FLOW ANTENNA","3D9.1BF26B8759","Summer","AMERR","South Fork Clearwater","2010-05-11","Observation","2010-05-28 20:02:51","W",156,FALSE,"steelhead"
"GRJ","DIVERSION / SBYC GATE","3D9.1BF26B8A23","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-22 09:21:34","W",146,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF26B8A23","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-22 09:21:37","W",146,FALSE,"steelhead"
"BCC","15X15 FULL-FLOW ANTENNA","3D9.1BF26B8EEB","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-29 11:25:47","W",144,FALSE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF26B98A1","Summer","AMERR","South Fork Clearwater","2010-05-11","Observation","2010-05-22 20:46:00","W",159,TRUE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF26B98A1","Summer","AMERR","South Fork Clearwater","2010-05-11","Observation","2010-05-22 20:46:01","W",159,TRUE,"steelhead"
"GOJ","A-SEPARATOR GATE","3D9.1BF26B9DF9","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-20 20:42:08","W",146,FALSE,"steelhead"
"GOJ","A-RACEWAY / RIVER EXIT","3D9.1BF26B9DF9","Summer","AMERR","South Fork Clearwater","2010-05-12","Observation","2010-05-20 20:42:16","W",146,TRUE,"steelhead"
"GRJ","A-SEPARATOR GATE","3D9.1BF26B9E5C","Summer","AMERR","South Fork Clearwater","2010-05-08","Observation","2010-05-17 23:40:53","W",141,FALSE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF26B9E5C","Summer","AMERR","South Fork Clearwater","2010-05-08","Observation","2010-05-17 23:40:59","W",141,TRUE,"steelhead"
"GRJ","B-SEPARATOR GATE","3D9.1BF26BA0B1","Summer","AMERR","South Fork Clearwater","2010-05-14","Observation","2010-05-22 19:19:19","W",145,FALSE,"steelhead"
"GRJ","RACEWAY WEST / RIVER EXIT","3D9.1BF26BA0B1","Summer","AMERR","South Fork Clearwater","2010-05-14","Observation","2010-05-22 19:19:25","W",145,TRUE,"steelhead"
"BCC","15X15 FULL-FLOW ANTENNA","3D9.1BF26BAB9C","Summer","AMERR","South Fork Clearwater","2010-05-11","Observation","2010-05-31 06:13:57","W",163,FALSE,"steelhead"
"ESANIS",NA,"3D9.1BF26BAB9C","Summer","AMERR","South Fork Clearwater","2010-05-11","Recovery","2010-10-15 12:00:00","W",163,FALSE,"steelhead"
"GRJ","DIVERSION / SBYC GATE","3D9.1BF26BB356","Summer","AMERR","South Fork Clearwater","2010-05-10","Observation","2010-05-20 22:40:47","W",138,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF26BB356","Summer","AMERR","South Fork Clearwater","2010-05-10","Observation","2010-05-20 22:40:49","W",138,FALSE,"steelhead"
"GRJ","DIVERSION / SBYC GATE","3D9.1BF26BCDDE","Summer","AMERR","South Fork Clearwater","2010-05-13","Observation","2010-05-18 21:31:18","W",152,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF26BCDDE","Summer","AMERR","South Fork Clearwater","2010-05-13","Observation","2010-05-18 21:31:20","W",152,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF26BCDDE","Summer","AMERR","South Fork Clearwater","2010-05-13","Observation","2010-05-20 22:13:42","W",152,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF26BCDDE","Summer","AMERR","South Fork Clearwater","2010-05-13","Observation","2010-05-20 22:13:43","W",152,FALSE,"steelhead"
"ICHFFB","FULL FLOW BYPASS","3D9.1BF26BCDDE","Summer","AMERR","South Fork Clearwater","2010-05-13","Observation","2010-05-23 01:26:42","W",152,FALSE,"steelhead"
"ICHFFB","FULL FLOW BYPASS","3D9.1BF26BCDDE","Summer","AMERR","South Fork Clearwater","2010-05-13","Observation","2010-05-23 01:26:44","W",152,FALSE,"steelhead"
"ESANIS",NA,"3D9.1BF26BCDDE","Summer","AMERR","South Fork Clearwater","2010-05-13","Recovery","2010-11-04 12:00:00","W",152,FALSE,"steelhead"
