"obs_site","ant","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"GRJ","SAMPLE TANK","3DD.0077C73C9B","Summer","ASOTIC","Lower Snake-Asotin","2018-05-16","Observation","2018-05-19 09:27:02","H",210,TRUE,"steelhead"
"GRJ","SAMPLE TANK","3DD.0077C73C9B","Summer","ASOTIC","Lower Snake-Asotin","2018-05-16","Observation","2018-05-19 09:27:03","H",210,TRUE,"steelhead"
"GOA","Counting Window","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-10-03 09:17:06","H",132,FALSE,"steelhead"
"MC2","COUNTING WINDOW","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-09-24 06:02:36","H",132,FALSE,"steelhead"
"LMA","Left Ladder","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-09-30 14:36:45","H",132,FALSE,"steelhead"
"BO3","WEIR 57","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-07-29 14:09:26","H",132,FALSE,"steelhead"
"GRJ","BYPASS RIVER EXIT","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2016-04-24 09:45:00","H",132,FALSE,"steelhead"
"BO3","WEIR 59","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-07-29 14:13:57","H",132,FALSE,"steelhead"
"MC2","COUNTING WINDOW","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-09-24 06:02:31","H",132,FALSE,"steelhead"
"ICH","LEFT LADDER WEIR 436 [O/S]","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-09-26 06:06:48","H",132,FALSE,"steelhead"
"GRA","ISO WEST","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-10-08 09:19:42","H",132,FALSE,"steelhead"
"GRJ","RCWY-10 GATE","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2016-04-24 09:44:54","H",132,FALSE,"steelhead"
"BO4","VERTICAL SLOT DETECTORS","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-07-29 15:09:35","H",132,FALSE,"steelhead"
"BO4","VERTICAL SLOT DETECTORS","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-07-29 15:09:34","H",132,FALSE,"steelhead"
"ICH","LEFT LADDER WEIR 438 [O/S]","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-09-26 06:07:28","H",132,FALSE,"steelhead"
"JO2","WEIR 247","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-09-21 17:34:51","H",132,FALSE,"steelhead"
"GRA","ISO WEST","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-10-08 09:19:43","H",132,FALSE,"steelhead"
"GRA","Ladder Exit","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-10-09 02:29:03","H",132,FALSE,"steelhead"
"TD1","Counting Window","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-09-14 13:51:27","H",132,FALSE,"steelhead"
"GRA","WEIR 733","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-10-08 15:02:18","H",132,FALSE,"steelhead"
"LGRLDR",NA,"3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Recapture","2018-10-08 12:57:34","H",132,FALSE,"steelhead"
"LMA","Left Ladder","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-09-30 14:36:44","H",132,FALSE,"steelhead"
"GOA","Counting Window","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-10-03 09:17:07","H",132,FALSE,"steelhead"
"TD1","Counting Window","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-09-14 13:51:28","H",132,FALSE,"steelhead"
"JO2","WEIR 247","3DD.007772D8E0","Summer","BCANF","Wallowa","2016-04-14","Observation","2018-09-21 17:34:50","H",132,FALSE,"steelhead"
"MC1","COUNTING WINDOW","3DD.0077735448","Summer","BCANF","Wallowa","2016-05-03","Observation","2018-10-05 11:27:42","H",NA,FALSE,"steelhead"
"LMA","Right Ladder","3DD.0077735448","Summer","BCANF","Wallowa","2016-05-03","Observation","2018-10-10 06:14:54","H",NA,FALSE,"steelhead"
"TD1","Counting Window","3DD.0077735448","Summer","BCANF","Wallowa","2016-05-03","Observation","2018-10-01 12:09:58","H",NA,FALSE,"steelhead"
"ICH","LEFT LADDER WEIR 438 [O/S]","3DD.0077735448","Summer","BCANF","Wallowa","2016-05-03","Observation","2018-10-08 14:25:30","H",NA,FALSE,"steelhead"
"GRA","Ladder Exit","3DD.0077735448","Summer","BCANF","Wallowa","2016-05-03","Observation","2018-10-17 15:38:58","H",NA,FALSE,"steelhead"
"GOA","Counting Window","3DD.0077735448","Summer","BCANF","Wallowa","2016-05-03","Observation","2018-10-13 14:53:03","H",NA,FALSE,"steelhead"
