"obs_site","ant","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"GRJ","DIVERSION / SBYC GATE","3D9.1BF259BB8A","Summer","AMERR","South Fork Clearwater","2007-06-07","Observation","2009-05-26 19:54:12","W",103,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF259BB8A","Summer","AMERR","South Fork Clearwater","2007-06-07","Observation","2009-05-26 19:54:14","W",103,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF259BB8A","Summer","AMERR","South Fork Clearwater","2007-06-07","Observation","2009-05-28 08:23:33","W",103,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF259BB8A","Summer","AMERR","South Fork Clearwater","2007-06-07","Observation","2009-05-28 08:23:34","W",103,FALSE,"steelhead"
"GRJ","DIVERSION / SBYC GATE","3D9.1BF259C013","Summer","AMERR","South Fork Clearwater","2007-06-07","Observation","2009-05-09 01:42:37","W",98,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF259C013","Summer","AMERR","South Fork Clearwater","2007-06-07","Observation","2009-05-09 01:42:40","W",98,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF259C013","Summer","AMERR","South Fork Clearwater","2007-06-07","Observation","2009-05-11 22:23:28","W",98,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF259C013","Summer","AMERR","South Fork Clearwater","2007-06-07","Observation","2009-05-11 22:23:29","W",98,FALSE,"steelhead"
"AMERR",NA,"3D9.1BF259C25C","Summer","AMERR","South Fork Clearwater","2007-05-19","Recapture","2007-05-20 08:36:00","W",105,FALSE,"steelhead"
"LMJ","A-RACEWAY","3D9.1BF259C25C","Summer","AMERR","South Fork Clearwater","2007-05-19","Observation","2009-05-22 21:31:14","W",105,TRUE,"steelhead"
"LMJ","A-RACEWAY","3D9.1BF259C25C","Summer","AMERR","South Fork Clearwater","2007-05-19","Observation","2009-05-22 21:31:15","W",105,TRUE,"steelhead"
"AMERR",NA,"3D9.1BF259CC2E","Summer","AMERR","South Fork Clearwater","2007-05-26","Recapture","2007-05-27 07:48:00","W",103,FALSE,"steelhead"
"GOJ","DIVERSION SBYC GATE","3D9.1BF259CC2E","Summer","AMERR","South Fork Clearwater","2007-05-26","Observation","2009-05-24 20:41:14","W",103,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF259CC2E","Summer","AMERR","South Fork Clearwater","2007-05-26","Observation","2009-05-24 20:41:17","W",103,FALSE,"steelhead"
"LMJ","A-DIVERSION","3D9.1BF259CC2E","Summer","AMERR","South Fork Clearwater","2007-05-26","Observation","2009-05-25 21:33:25","W",103,FALSE,"steelhead"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF259CC2E","Summer","AMERR","South Fork Clearwater","2007-05-26","Observation","2009-05-25 21:57:57","W",103,FALSE,"steelhead"
"B2J","RIVER EXIT","3D9.1BF259CC2E","Summer","AMERR","South Fork Clearwater","2007-05-26","Observation","2009-05-31 22:32:50","W",103,FALSE,"steelhead"
"B2J","RIVER EXIT","3D9.1BF259CC2E","Summer","AMERR","South Fork Clearwater","2007-05-26","Observation","2009-05-31 22:32:51","W",103,FALSE,"steelhead"
"GRJ","DIVERSION / SBYC GATE","3D9.1BF259DA6F","Summer","AMERR","South Fork Clearwater","2007-05-22","Observation","2009-05-06 20:01:38","W",88,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF259DA6F","Summer","AMERR","South Fork Clearwater","2007-05-22","Observation","2009-05-06 20:01:40","W",88,FALSE,"steelhead"
"GOJ","FULL FLOW BYPASS","3D9.1BF259DA6F","Summer","AMERR","South Fork Clearwater","2007-05-22","Observation","2009-05-08 12:17:31","W",88,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF259DA6F","Summer","AMERR","South Fork Clearwater","2007-05-22","Observation","2009-05-09 02:03:36","W",88,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF259DA6F","Summer","AMERR","South Fork Clearwater","2007-05-22","Observation","2009-05-09 02:03:37","W",88,FALSE,"steelhead"
"ESANIS",NA,"3D9.1BF259DA6F","Summer","AMERR","South Fork Clearwater","2007-05-22","Recovery","2010-10-15 12:00:00","W",88,FALSE,"steelhead"
"GOJ","DIVERSION SBYC GATE","3D9.1BF25A72A1","Summer","AMERR","South Fork Clearwater","2007-05-23","Observation","2009-05-02 14:37:44","W",94,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF25A72A1","Summer","AMERR","South Fork Clearwater","2007-05-23","Observation","2009-05-02 14:37:47","W",94,FALSE,"steelhead"
"JDJ","RIVER EXIT","3D9.1BF25A72A1","Summer","AMERR","South Fork Clearwater","2007-05-23","Observation","2009-05-13 05:35:11","W",94,FALSE,"steelhead"
"JDJ","RIVER EXIT","3D9.1BF25A72A1","Summer","AMERR","South Fork Clearwater","2007-05-23","Observation","2009-05-13 05:35:12","W",94,FALSE,"steelhead"
