"obs_site","ant","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"AGNCYC",NA,"384.3B2399B91A","Summer","AGNCYC","Lemhi","2013-06-25","Recapture","2013-06-26 06:32:00","W",195,FALSE,"steelhead"
"GRJ","DIVERSION / SBYC GATE","384.3B2399B91A","Summer","AGNCYC","Lemhi","2013-06-25","Observation","2014-05-09 18:14:29","W",195,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","384.3B2399B91A","Summer","AGNCYC","Lemhi","2013-06-25","Observation","2014-05-09 18:14:31","W",195,FALSE,"steelhead"
"GOJ","DIVERSION SBYC GATE","384.3B2399B91A","Summer","AGNCYC","Lemhi","2013-06-25","Observation","2014-05-11 21:45:49","W",195,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","384.3B2399B91A","Summer","AGNCYC","Lemhi","2013-06-25","Observation","2014-05-11 21:45:52","W",195,FALSE,"steelhead"
"MCJ","FULL FLOW BYPASS","3D9.1C2E03A81C","Summer","AMERR","South Fork Clearwater","2013-07-12","Observation","2014-04-29 22:45:43","W",128,FALSE,"steelhead"
"MCJ","FULL FLOW BYPASS","3D9.1C2E03A81C","Summer","AMERR","South Fork Clearwater","2013-07-12","Observation","2014-04-29 22:45:46","W",128,FALSE,"steelhead"
"GOJ","FULL FLOW BYPASS","3D9.1C2E04D70A","Summer","AMERR","South Fork Clearwater","2013-10-17","Observation","2014-05-08 01:24:29","W",132,FALSE,"steelhead"
"GOJ","A-RACEWAY / RIVER EXIT","3D9.1C2E04D70A","Summer","AMERR","South Fork Clearwater","2013-10-17","Observation","2014-05-08 19:14:30","W",132,TRUE,"steelhead"
"GOJ","A-RACEWAY / RIVER EXIT","3D9.1C2E04D70A","Summer","AMERR","South Fork Clearwater","2013-10-17","Observation","2014-05-08 19:14:31","W",132,TRUE,"steelhead"
"BCC","15X15 FULL-FLOW ANTENNA","3D9.1C2E09742A","Summer","AMERR","South Fork Clearwater","2013-10-17","Observation","2014-05-26 19:19:48","W",132,FALSE,"steelhead"
"GOJ","DIVERSION SBYC GATE","3DD.00775590C4","Summer","AMERR","South Fork Clearwater","2014-03-26","Observation","2014-05-25 22:12:54","W",144,FALSE,"steelhead"
"GOJ","DIVERSION RIVER EXIT","3DD.00775590C4","Summer","AMERR","South Fork Clearwater","2014-03-26","Observation","2014-05-25 22:12:57","W",144,FALSE,"steelhead"
"GRJ","EAST RACEWAY 10","3DD.007755AA6A","Summer","AMERR","South Fork Clearwater","2014-05-15","Observation","2014-05-21 20:14:22","W",153,TRUE,"steelhead"
"GRJ","EAST RACEWAY 10","3DD.007755AA6A","Summer","AMERR","South Fork Clearwater","2014-05-15","Observation","2014-05-21 20:14:23","W",153,TRUE,"steelhead"
"GRJ","DIVERSION / SBYC GATE","3DD.007755AEED","Summer","AMERR","South Fork Clearwater","2014-04-16","Observation","2014-05-06 00:29:40","W",131,FALSE,"steelhead"
"GRJ","DIVERSION RIVER EXIT","3DD.007755AEED","Summer","AMERR","South Fork Clearwater","2014-04-16","Observation","2014-05-06 00:29:42","W",131,FALSE,"steelhead"
"ICHFFB","FULL FLOW BYPASS","3DD.007755AEED","Summer","AMERR","South Fork Clearwater","2014-04-16","Observation","2014-05-10 01:45:43","W",131,FALSE,"steelhead"
"ICHFFB","FULL FLOW BYPASS","3DD.007755AEED","Summer","AMERR","South Fork Clearwater","2014-04-16","Observation","2014-05-10 01:45:45","W",131,FALSE,"steelhead"
