"obs_site","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"BO1","3D9.1C2CFD9D5C","Summer","PETTLC","Upper Salmon","2009-05-15","Observation","2012-06-16 13:27:54","W",121,FALSE,"sockeye"
"LMJ","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2010-06-03 04:14:41","H",108,FALSE,"sockeye"
"LMJ","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2010-06-03 05:07:31","H",108,FALSE,"sockeye"
"MCJ","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2010-06-04 20:47:31","H",108,FALSE,"sockeye"
"MCJ","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2010-06-04 20:47:35","H",108,FALSE,"sockeye"
"BO1","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-06-23 16:30:20","H",108,FALSE,"sockeye"
"BO1","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-06-23 16:36:00","H",108,FALSE,"sockeye"
"MC1","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-06-28 18:41:31","H",108,FALSE,"sockeye"
"MC1","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-06-28 18:41:32","H",108,FALSE,"sockeye"
"ICH","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-06-30 06:31:53","H",108,FALSE,"sockeye"
"ICH","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-06-30 06:31:54","H",108,FALSE,"sockeye"
"GRA","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-07-04 06:36:44","H",108,FALSE,"sockeye"
"GRA","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-07-04 06:38:36","H",108,FALSE,"sockeye"
"STL","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-08-14 18:37:59","H",108,FALSE,"sockeye"
"STL","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-08-14 18:46:31","H",108,FALSE,"sockeye"
"GRJ","3D9.1C2D4020A4","Summer","PETTLC","Upper Salmon","2012-05-09","Observation","2012-05-22 22:41:34","H",146,FALSE,"sockeye"
"GRJ","3D9.1C2D4020A4","Summer","PETTLC","Upper Salmon","2012-05-09","Observation","2012-05-22 22:41:36","H",146,FALSE,"sockeye"
"GRJ","3D9.1C2D41027E","Summer","PETTLC","Upper Salmon","2012-05-09","Observation","2012-05-19 20:15:30","W",144,FALSE,"sockeye"
"GRJ","3D9.1C2D41027E","Summer","PETTLC","Upper Salmon","2012-05-09","Observation","2012-05-19 20:15:32","W",144,FALSE,"sockeye"
"GRJ","3D9.1C2D64DDD9","Summer","PETTLC","Upper Salmon","2012-05-15","Observation","2012-05-27 20:23:46","W",114,FALSE,"sockeye"
"GRJ","3D9.1C2D64DDD9","Summer","PETTLC","Upper Salmon","2012-05-15","Observation","2012-05-27 20:23:47","W",114,FALSE,"sockeye"
"GRJ","3D9.1C2D6A720B","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-26 00:01:08","W",109,FALSE,"sockeye"
"GOJ","3D9.1C2D6A760D","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-21 22:46:11","W",120,FALSE,"sockeye"
"GOJ","3D9.1C2D6A760D","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-21 22:46:14","W",120,FALSE,"sockeye"
"JDJ","3D9.1C2D6A760D","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-28 07:57:30","W",120,FALSE,"sockeye"
"JDJ","3D9.1C2D6A760D","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-28 07:57:31","W",120,FALSE,"sockeye"
"GRJ","3D9.1C2D6AA520","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-19 20:41:19","W",109,FALSE,"sockeye"
"GRJ","3D9.1C2D6AA520","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-19 20:41:21","W",109,FALSE,"sockeye"
"GOJ","3D9.1C2D6AA520","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-22 22:21:39","W",109,FALSE,"sockeye"
"GOJ","3D9.1C2D6AA520","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-22 22:21:41","W",109,FALSE,"sockeye"
"GRJ","3D9.1C2D6AA6DB","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-20 01:15:08","W",148,FALSE,"sockeye"
"GRJ","3D9.1C2D6AA6DB","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-20 01:15:10","W",148,FALSE,"sockeye"
"LMJ","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-25 17:57:40","H",141,FALSE,"sockeye"
"LMJ","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-30 08:17:56","H",141,FALSE,"sockeye"
"LMJ","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-31 09:45:57","H",141,FALSE,"sockeye"
"MCJ","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-06-02 15:31:44","H",141,FALSE,"sockeye"
"MCJ","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-06-02 15:31:47","H",141,FALSE,"sockeye"
"JDJ","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-06-05 00:22:41","H",141,FALSE,"sockeye"
"JDJ","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-06-05 00:22:42","H",141,FALSE,"sockeye"
"ESANIS","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Recovery","2013-11-27 12:00:00","H",141,FALSE,"sockeye"
"GRJ","3D9.1C2D6ADD44","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-19 20:44:32","H",146,FALSE,"sockeye"
"GRJ","3D9.1C2D6ADD44","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-19 20:44:34","H",146,FALSE,"sockeye"
"GOJ","3D9.1C2D6ADD44","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 04:40:18","H",146,FALSE,"sockeye"
"GOJ","3D9.1C2D6ADD44","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 04:40:21","H",146,FALSE,"sockeye"
"GOJ","3D9.1C2D6ADE8E","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-23 12:04:36","W",104,FALSE,"sockeye"
"GOJ","3D9.1C2D6ADE8E","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 01:36:30","W",104,FALSE,"sockeye"
"GOJ","3D9.1C2D6ADE8E","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 01:36:32","W",104,FALSE,"sockeye"
"LMJ","3D9.1C2D6ADE8E","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 22:02:33","W",104,FALSE,"sockeye"
"LMJ","3D9.1C2D6ADE8E","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 22:59:07","W",104,FALSE,"sockeye"
"GRJ","3D9.1C2D6AE44E","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-18 21:40:00","W",112,FALSE,"sockeye"
"GRJ","3D9.1C2D6AE44E","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-18 21:40:02","W",112,FALSE,"sockeye"
"GOJ","3D9.1C2D6AE44E","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-20 22:04:07","W",112,FALSE,"sockeye"
"GOJ","3D9.1C2D6AE44E","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-20 22:04:10","W",112,FALSE,"sockeye"
"ICHFFB","3D9.1C2D6AE44E","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-23 04:06:49","W",112,FALSE,"sockeye"
"ICHFFB","3D9.1C2D6AE44E","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-23 04:06:51","W",112,FALSE,"sockeye"
"LMJ","3D9.1C2D6AEF00","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-20 20:49:43","W",110,FALSE,"sockeye"
"LMJ","3D9.1C2D6AEF00","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-20 20:51:01","W",110,FALSE,"sockeye"
"BCC","3D9.1C2D6AEF00","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-25 19:49:09","W",110,FALSE,"sockeye"
"GOJ","3D9.1C2D6B1481","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-24 21:56:36","W",115,FALSE,"sockeye"
"GOJ","3D9.1C2D6B1481","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-25 20:29:23","W",115,FALSE,"sockeye"
"GOJ","3D9.1C2D6B1481","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-25 20:29:26","W",115,FALSE,"sockeye"
"LMJ","3D9.1C2D6B1481","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-27 10:47:17","W",115,FALSE,"sockeye"
"LMJ","3D9.1C2D6B1481","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-27 10:47:18","W",115,FALSE,"sockeye"
"B2J","3D9.1C2D6B1481","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-06-01 12:51:44","W",115,FALSE,"sockeye"
"B2J","3D9.1C2D6B1481","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-06-02 09:48:06","W",115,FALSE,"sockeye"
"B2J","3D9.1C2D6B1481","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-06-02 09:48:07","W",115,FALSE,"sockeye"
"LMJ","3D9.1C2D6CC169","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-06-09 22:29:43","W",112,FALSE,"sockeye"
"LMJ","3D9.1C2D6CC169","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-06-09 23:38:10","W",112,FALSE,"sockeye"
"JDJ","3D9.1C2D6CC169","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-06-16 19:19:25","W",112,FALSE,"sockeye"
"JDJ","3D9.1C2D6CC169","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-06-16 19:19:26","W",112,FALSE,"sockeye"
"GRJ","3D9.1C2D6CC976","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-19 22:24:06","W",115,FALSE,"sockeye"
"GRJ","3D9.1C2D6CC976","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-19 22:24:07","W",115,FALSE,"sockeye"
"LMJ","3D9.1C2D6CC976","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-22 23:32:01","W",115,FALSE,"sockeye"
"LMJ","3D9.1C2D6CC976","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-22 23:32:02","W",115,FALSE,"sockeye"
"LMJ","3D9.1C2D6D30AD","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-22 23:03:35","W",119,FALSE,"sockeye"
"LMJ","3D9.1C2D6D30AD","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-22 23:50:20","W",119,FALSE,"sockeye"
"BCC","3D9.1C2D6D30AD","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-28 10:58:31","W",119,FALSE,"sockeye"
"GOJ","3D9.1C2D71E928","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-06-06 13:22:55","W",109,FALSE,"sockeye"
"GOJ","3D9.1C2D71E928","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-06-06 13:22:58","W",109,FALSE,"sockeye"
"LMJ","3D9.1C2D72139C","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-21 23:50:54","W",155,FALSE,"sockeye"
"LMJ","3D9.1C2D72139C","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-21 23:53:53","W",155,FALSE,"sockeye"
"JDJ","3D9.1C2D721CD1","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-25 15:29:09","W",114,FALSE,"sockeye"
"JDJ","3D9.1C2D721CD1","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-25 15:29:10","W",114,FALSE,"sockeye"
"GRJ","3D9.1C2D721E16","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-18 20:28:27","W",144,FALSE,"sockeye"
"GRJ","3D9.1C2D721E16","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-18 20:28:29","W",144,FALSE,"sockeye"
"LMJ","3D9.1C2D7296C2","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-27 06:47:00","W",109,FALSE,"sockeye"
"LMJ","3D9.1C2D7296C2","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-27 06:47:25","W",109,TRUE,"sockeye"
"TWX","3D9.1C2D7296C2","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-30 07:38:35","W",109,FALSE,"sockeye"
"TWX","3D9.1C2D7296C2","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-30 07:38:36","W",109,FALSE,"sockeye"
"GRJ","3D9.1C2D72A2B9","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-22 20:46:49","W",150,FALSE,"sockeye"
"GRJ","3D9.1C2D72A2B9","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-22 20:46:51","W",150,FALSE,"sockeye"
"GOJ","3D9.1C2D72A2B9","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 02:05:45","W",150,FALSE,"sockeye"
"GOJ","3D9.1C2D72A2B9","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 02:05:46","W",150,FALSE,"sockeye"
"GRJ","3D9.1C2D72A84F","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-25 19:46:22","W",115,FALSE,"sockeye"
"GRJ","3D9.1C2D72A84F","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-25 19:46:24","W",115,FALSE,"sockeye"
"GRJ","3D9.1C2D72B388","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-20 20:14:46","W",110,FALSE,"sockeye"
"GRJ","3D9.1C2D72B388","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-20 20:14:48","W",110,FALSE,"sockeye"
"GOJ","3D9.1C2D72B388","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-23 03:48:05","W",110,FALSE,"sockeye"
"GOJ","3D9.1C2D72B388","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-23 03:48:08","W",110,FALSE,"sockeye"
"GOJ","3D9.1C2D72B805","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-22 22:42:53","H",140,FALSE,"sockeye"
"GOJ","3D9.1C2D72B805","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-29 09:07:56","H",140,FALSE,"sockeye"
"GOJ","3D9.1C2D72B805","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-29 09:07:58","H",140,FALSE,"sockeye"
"GOJ","3D9.1C2D72C141","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-23 15:14:27","W",110,FALSE,"sockeye"
"GOJ","3D9.1C2D72C141","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-24 19:19:25","W",110,FALSE,"sockeye"
"GOJ","3D9.1C2D72C141","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-24 19:19:28","W",110,FALSE,"sockeye"
"ICHFFB","3D9.1C2D72C141","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-27 14:11:31","W",110,FALSE,"sockeye"
"ICHFFB","3D9.1C2D72C141","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-27 14:11:34","W",110,FALSE,"sockeye"
"MCJ","3D9.1C2D72C141","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-30 10:54:28","W",110,FALSE,"sockeye"
"MCJ","3D9.1C2D72C141","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-30 10:54:30","W",110,FALSE,"sockeye"
"LMILIS","3D9.1C2D72C141","Summer","PETTLC","Upper Salmon","2012-05-12","Recovery","2013-08-13 00:00:00","W",110,FALSE,"sockeye"
"GOJ","3D9.1C2D72D5FD","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-25 20:27:36","W",112,FALSE,"sockeye"
"GOJ","3D9.1C2D72D5FD","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-26 12:49:10","W",112,FALSE,"sockeye"
"GOJ","3D9.1C2D72D5FD","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-26 12:49:12","W",112,FALSE,"sockeye"
"LMJ","3D9.1C2D72D5FD","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-27 22:18:46","W",112,FALSE,"sockeye"
"LMJ","3D9.1C2D72D5FD","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-27 23:35:14","W",112,FALSE,"sockeye"
"LMJ","3D9.1C2D730A34","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-23 10:57:35","W",108,FALSE,"sockeye"
"LMJ","3D9.1C2D730A34","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-23 11:10:52","W",108,FALSE,"sockeye"
"MCJ","3D9.1C2D730A34","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-25 16:35:45","W",108,FALSE,"sockeye"
"MCJ","3D9.1C2D730A34","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-25 16:35:48","W",108,FALSE,"sockeye"
"BCC","3D9.1C2D7313D5","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-06-03 03:52:18","W",110,FALSE,"sockeye"
"GRJ","3D9.1C2D7332B6","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 23:36:56","W",108,FALSE,"sockeye"
"GRJ","3D9.1C2D7332B6","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 23:36:58","W",108,FALSE,"sockeye"
"GOJ","3D9.1C2D7332B6","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-27 04:07:17","W",108,FALSE,"sockeye"
"GOJ","3D9.1C2D7332B6","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-28 15:21:34","W",108,FALSE,"sockeye"
"GOJ","3D9.1C2D7332B6","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-28 15:21:35","W",108,FALSE,"sockeye"
"LMJ","3D9.1C2D7400C9","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-24 05:22:25","W",108,FALSE,"sockeye"
"LMJ","3D9.1C2D7400C9","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-24 16:08:42","W",108,FALSE,"sockeye"
"ICHFFB","3D9.1C2D7400C9","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-25 15:25:24","W",108,FALSE,"sockeye"
"ICHFFB","3D9.1C2D7400C9","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-25 15:25:26","W",108,FALSE,"sockeye"
"JDJ","3D9.1C2D7400C9","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-28 22:57:27","W",108,FALSE,"sockeye"
"JDJ","3D9.1C2D7400C9","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-28 22:57:28","W",108,FALSE,"sockeye"
"LMJ","3D9.1C2D7402B2","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 00:36:31","W",110,FALSE,"sockeye"
"LMJ","3D9.1C2D7402B2","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 00:36:32","W",110,FALSE,"sockeye"
"MCJ","3D9.1C2D7402B2","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-26 18:07:12","W",110,FALSE,"sockeye"
"MCJ","3D9.1C2D7402B2","Summer","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-26 18:07:14","W",110,FALSE,"sockeye"
"ICHFFB","3D9.1C2D740FDA","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-26 11:08:26","H",149,FALSE,"sockeye"
"ICHFFB","3D9.1C2D740FDA","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-26 11:08:28","H",149,FALSE,"sockeye"
"MCJ","3D9.1C2D740FDA","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-30 21:48:39","H",149,FALSE,"sockeye"
"MCJ","3D9.1C2D740FDA","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-30 21:48:40","H",149,FALSE,"sockeye"
"GRJ","3D9.1C2D742A3E","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-22 21:30:23","H",149,FALSE,"sockeye"
"GRJ","3D9.1C2D742A3E","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-22 21:30:24","H",149,FALSE,"sockeye"
"BCC","3D9.1C2D742A3E","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-30 11:19:43","H",149,FALSE,"sockeye"
"JDJ","3D9.1C2D955907","Summer","PETTLC","Upper Salmon","2012-05-10","Observation","2012-05-30 01:58:56","W",NA,FALSE,"sockeye"
"JDJ","3D9.1C2D955907","Summer","PETTLC","Upper Salmon","2012-05-10","Observation","2012-05-30 01:58:57","W",NA,FALSE,"sockeye"
"GRJ","3D9.1C2D9567EC","Summer","PETTLC","Upper Salmon","2012-05-08","Observation","2012-05-26 00:48:42","W",145,FALSE,"sockeye"
"GRJ","3D9.1C2D9567EC","Summer","PETTLC","Upper Salmon","2012-05-08","Observation","2012-05-26 00:48:44","W",145,FALSE,"sockeye"
"GRJ","3D9.1C2D37B0C7","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-03 07:48:32","H",102,FALSE,"sockeye"
"GRJ","3D9.1C2D37B0C7","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-03 07:48:34","H",102,FALSE,"sockeye"
"LMJ","3D9.1C2D37B0C7","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-07 19:03:06","H",102,FALSE,"sockeye"
"LMJ","3D9.1C2D37B0C7","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-07 19:03:07","H",102,FALSE,"sockeye"
"JDJ","3D9.1C2D821983","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-16 20:44:10","H",101,FALSE,"sockeye"
"JDJ","3D9.1C2D821983","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-16 20:44:11","H",101,FALSE,"sockeye"
"RLCTRP","3D9.1C2D821BFC","Summer","REDFL","Upper Salmon","2011-07-12","Recapture","2012-04-30 07:29:00","H",89,FALSE,"sockeye"
"GRJ","3D9.1C2D821BFC","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-06 21:11:03","H",89,FALSE,"sockeye"
"GRJ","3D9.1C2D82222E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-06 12:29:51","H",88,FALSE,"sockeye"
"GRJ","3D9.1C2D82222E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-06 12:29:52","H",88,FALSE,"sockeye"
"GOJ","3D9.1C2D82599E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-13 00:44:12","H",95,FALSE,"sockeye"
"GOJ","3D9.1C2D82599E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-13 00:44:13","H",95,FALSE,"sockeye"
"ICHFFB","3D9.1C2D82599E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-16 00:25:54","H",95,FALSE,"sockeye"
"ICHFFB","3D9.1C2D82599E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-16 00:25:56","H",95,FALSE,"sockeye"
"MCJ","3D9.1C2D82599E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-17 15:21:17","H",95,FALSE,"sockeye"
"MCJ","3D9.1C2D82599E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-17 15:21:20","H",95,FALSE,"sockeye"
"GRJ","3D9.1C2D825B67","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-07 02:44:44","H",99,FALSE,"sockeye"
