"obs_site","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"GRJ","3D9.1C2D6AF2AA","Summer","ALTULC","Upper Salmon","2012-05-16","Observation","2012-06-06 21:28:07","W",78,FALSE,"sockeye"
"GRJ","3D9.1C2DEF1146","Summer","ALTULC","Upper Salmon","2010-05-29","Observation","2012-08-01 02:51:30","H",85,TRUE,"sockeye"
"GRJ","3D9.1C2DEF1146","Summer","ALTULC","Upper Salmon","2010-05-29","Observation","2012-08-01 02:51:31","H",85,TRUE,"sockeye"
"ESANIS","3D9.1C2DEF1146","Summer","ALTULC","Upper Salmon","2010-05-29","Recovery","2012-10-17 12:00:00","H",85,FALSE,"sockeye"
"MCJ","3D9.1C2CF03E6A","Summer","ALTURL","Upper Salmon","2009-10-07","Observation","2010-06-06 05:22:29","H",82,FALSE,"sockeye"
"MCJ","3D9.1C2CF03E6A","Summer","ALTURL","Upper Salmon","2009-10-07","Observation","2010-06-06 05:22:30","H",82,FALSE,"sockeye"
"JDJ","3D9.1C2CF03E6A","Summer","ALTURL","Upper Salmon","2009-10-07","Observation","2010-06-07 22:51:22","H",82,FALSE,"sockeye"
"JDJ","3D9.1C2CF03E6A","Summer","ALTURL","Upper Salmon","2009-10-07","Observation","2010-06-07 22:51:23","H",82,FALSE,"sockeye"
"BO1","3D9.1C2CF03E6A","Summer","ALTURL","Upper Salmon","2009-10-07","Observation","2012-06-24 11:02:12","H",82,FALSE,"sockeye"
"BO1","3D9.1C2CF03E6A","Summer","ALTURL","Upper Salmon","2009-10-07","Observation","2012-06-24 11:03:39","H",82,FALSE,"sockeye"
"GOJ","3D9.1C2D72C6B2","Unknown","LGRRRR","Lower Snake-Tucannon","2012-05-09","Observation","2012-05-12 01:06:32","W",96,FALSE,"sockeye"
"GOJ","3D9.1C2D72C6B2","Unknown","LGRRRR","Lower Snake-Tucannon","2012-05-09","Observation","2012-05-12 01:06:33","W",96,FALSE,"sockeye"
"LMJ","3D9.1C2D72C6B2","Unknown","LGRRRR","Lower Snake-Tucannon","2012-05-09","Observation","2012-05-13 16:07:56","W",96,FALSE,"sockeye"
"LMJ","3D9.1C2D72C6B2","Unknown","LGRRRR","Lower Snake-Tucannon","2012-05-09","Observation","2012-05-13 16:07:57","W",96,FALSE,"sockeye"
"BCC","3D9.1C2CFD9D5C","Summer","PETTLC","Upper Salmon","2009-05-15","Observation","2009-06-02 15:27:25","W",121,FALSE,"sockeye"
"BO1","3D9.1C2CFD9D5C","Summer","PETTLC","Upper Salmon","2009-05-15","Observation","2012-06-16 13:25:33","W",121,FALSE,"sockeye"
