"tag_id","obs_site","ant","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"3D9.1BF2572AD9","GOJ","DIVERSION RIVER EXIT","Summer","BCANF","Wallowa","2007-05-02","Observation","2008-04-23 04:42:40","H",NA,FALSE,"steelhead"
"3D9.1BF2572AD9","GOJ","DIVERSION SBYC GATE","Summer","BCANF","Wallowa","2007-05-02","Observation","2008-04-23 04:42:37","H",NA,FALSE,"steelhead"
"3D9.1C2C3FB6E4","GOJ","B-RACEWAY / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-06-08 11:03:04","H",NA,TRUE,"steelhead"
"3D9.1C2C3FB6E4","GOJ","B-SEPARATOR GATE","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-06-08 11:03:01","H",NA,FALSE,"steelhead"
"3D9.1C2C3FC60D","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-14 17:59:20","H",NA,TRUE,"steelhead"
"3D9.1C2C3FC60D","ESANIS",NA,"Summer","BCANF","Wallowa","2008-04-09","Recovery","2009-10-01 12:00:00","H",NA,FALSE,"steelhead"
"3D9.1C2C3FC60D","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-14 17:59:19","H",NA,TRUE,"steelhead"
"3D9.1C2C3FC713","GOJ","DIVERSION RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-09 12:10:29","H",NA,FALSE,"steelhead"
"3D9.1C2C3FC713","GOJ","DIVERSION SBYC GATE","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-09 12:10:26","H",NA,FALSE,"steelhead"
"3D9.1C2C3FE865","GOJ","B-RACEWAY / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-10 10:29:02","H",117,TRUE,"steelhead"
"3D9.1C2C3FE865","GOJ","B-SEPARATOR GATE","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-10 10:28:58","H",117,FALSE,"steelhead"
"3D9.1C2C3FE8E3","GRJ","EAST RACEWAY 10","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-23 22:11:17","H",NA,TRUE,"steelhead"
"3D9.1C2C3FE8E3","GRJ","EAST RACEWAY 10","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-23 22:11:18","H",NA,TRUE,"steelhead"
"3D9.1C2C3FE8E3","ESANIS",NA,"Summer","BCANF","Wallowa","2008-04-29","Recovery","2008-10-14 12:00:00","H",NA,FALSE,"steelhead"
"3D9.1C2C3FEA06","JDJ","RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-25 11:45:48","H",127,FALSE,"steelhead"
"3D9.1C2C3FEA06","JDJ","RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-25 11:45:49","H",127,FALSE,"steelhead"
"3D9.1C2C3FEB1A","GOJ","B-SEPARATOR GATE","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-10 05:39:58","H",NA,FALSE,"steelhead"
"3D9.1C2C3FEB1A","GOJ","B-RACEWAY / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-10 05:40:01","H",NA,TRUE,"steelhead"
"3D9.1C2C3FF8B2","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-07 05:54:02","H",NA,TRUE,"steelhead"
"3D9.1C2C3FF8B2","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-07 05:54:01","H",NA,TRUE,"steelhead"
"3D9.1C2C3FFBCC","GOJ","B-RACEWAY / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-16 06:12:48","H",NA,TRUE,"steelhead"
"3D9.1C2C3FFBCC","GOJ","B-RACEWAY / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-16 06:12:49","H",NA,TRUE,"steelhead"
"3D9.1C2C4024D3","GRJ","A-SEPARATOR GATE","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-07 04:52:27","H",NA,FALSE,"steelhead"
"3D9.1C2C4024D3","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-07 04:52:34","H",NA,TRUE,"steelhead"
"3D9.1C2C40316F","GOJ","B-RACEWAY / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-19 22:27:07","H",NA,TRUE,"steelhead"
"3D9.1C2C40316F","GOJ","B-SEPARATOR GATE","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-19 22:27:03","H",NA,FALSE,"steelhead"
"3D9.1C2C4031C8","GRJ","A-SEPARATOR GATE","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-10 03:51:13","H",NA,FALSE,"steelhead"
"3D9.1C2C4031C8","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-10 03:51:19","H",NA,TRUE,"steelhead"
"3D9.1C2C403538","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-04 09:30:29","H",NA,TRUE,"steelhead"
"3D9.1C2C403538","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-04 09:30:30","H",NA,TRUE,"steelhead"
"3D9.1C2C405705","GOJ","B-RACEWAY / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-21 05:00:39","H",NA,TRUE,"steelhead"
"3D9.1C2C405705","GOJ","B-RACEWAY / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-21 05:00:40","H",NA,TRUE,"steelhead"
"3D9.1C2C405CFE","ESANIS",NA,"Summer","BCANF","Wallowa","2008-04-29","Recovery","2008-10-14 12:00:00","H",NA,FALSE,"steelhead"
"3D9.1C2C405CFE","GRJ","RACEWAY EAST","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-06-08 11:39:16","H",NA,TRUE,"steelhead"
"3D9.1C2C405CFE","GRJ","RACEWAY EAST","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-06-08 11:39:15","H",NA,TRUE,"steelhead"
"3D9.1C2C4065C5","LMJ","B-RACEWAY","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-23 20:49:38","H",NA,TRUE,"steelhead"
"3D9.1C2C4065C5","LMJ","B-RACEWAY","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-23 20:49:39","H",NA,TRUE,"steelhead"
"3D9.1C2C407327","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-17 11:16:15","H",NA,TRUE,"steelhead"
"3D9.1C2C407327","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-17 11:16:16","H",NA,TRUE,"steelhead"
"3D9.1C2C407327","ESANIS",NA,"Summer","BCANF","Wallowa","2008-04-29","Recovery","2008-10-14 12:00:00","H",NA,FALSE,"steelhead"
"3D9.1C2C407492","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-07 16:17:08","H",NA,TRUE,"steelhead"
"3D9.1C2C407492","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-07 16:17:07","H",NA,TRUE,"steelhead"
"3D9.1C2C407591","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-17 10:43:19","H",NA,TRUE,"steelhead"
"3D9.1C2C407591","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-17 10:43:18","H",NA,TRUE,"steelhead"
"3D9.1C2C407661","TWX","MATRIX [EXPERIMENTAL] TRAWL","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-16 12:27:50","H",NA,FALSE,"steelhead"
"3D9.1C2C407661","GOJ","B-RACEWAY / RIVER EXIT","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-12 20:57:37","H",NA,TRUE,"steelhead"
"3D9.1C2C407661","ESANIS",NA,"Summer","BCANF","Wallowa","2008-04-09","Recovery","2008-10-14 12:00:00","H",NA,FALSE,"steelhead"
"3D9.1C2C407661","GOJ","B-SEPARATOR GATE","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-05-12 20:57:34","H",NA,FALSE,"steelhead"
"3D9.1C2C407820","LMJ","B-RACEWAY","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-06-07 02:28:02","H",NA,TRUE,"steelhead"
"3D9.1C2C407820","LMJ","B-SEPARATOR GATE","Summer","BCANF","Wallowa","2008-04-09","Observation","2008-06-07 02:27:38","H",NA,FALSE,"steelhead"
"3D9.1C2C4078E1","LMJ","B-RACEWAY","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-19 14:38:13","H",NA,TRUE,"steelhead"
"3D9.1C2C4078E1","LMJ","B-SEPARATOR GATE","Summer","BCANF","Wallowa","2008-04-29","Observation","2008-05-19 14:37:57","H",NA,FALSE,"steelhead"
