"obs_site","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"GRJ","3DD.0077509943","Summer","ALTULC","Upper Salmon","2015-05-01","Observation","2015-05-09 21:41:49","W",104,FALSE,"sockeye"
"GRJ","3DD.0077509943","Summer","ALTULC","Upper Salmon","2015-05-01","Observation","2015-05-09 21:41:50","W",104,FALSE,"sockeye"
"GRJ","3DD.0077509D30","Summer","ALTULC","Upper Salmon","2015-04-28","Observation","2015-05-07 08:49:09","W",102,FALSE,"sockeye"
"GRJ","3DD.0077509D30","Summer","ALTULC","Upper Salmon","2015-04-28","Observation","2015-05-07 08:49:11","W",102,FALSE,"sockeye"
"GRJ","3DD.007750A004","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-07 10:57:30","W",100,FALSE,"sockeye"
"GRJ","3DD.007750A004","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-07 10:57:31","W",100,FALSE,"sockeye"
"GRJ","3DD.007750D603","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-07 12:45:27","W",102,FALSE,"sockeye"
"GRJ","3DD.007750D603","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-07 12:45:28","W",102,FALSE,"sockeye"
"JDJ","3DD.007750D603","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-21 18:44:34","W",102,FALSE,"sockeye"
"JDJ","3DD.007750D603","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-21 18:44:35","W",102,FALSE,"sockeye"
"GOJ","3DD.007750D9DC","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-12 21:43:56","W",105,FALSE,"sockeye"
"GOJ","3DD.007750D9DC","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-12 21:43:57","W",105,FALSE,"sockeye"
"GRJ","3DD.007750F5B0","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-07 18:39:01","W",98,FALSE,"sockeye"
"GRJ","3DD.007750F5B0","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-07 18:39:03","W",98,FALSE,"sockeye"
"GOJ","3DD.007750F718","Summer","ALTULC","Upper Salmon","2015-04-28","Observation","2015-05-10 02:12:36","W",112,FALSE,"sockeye"
"GOJ","3DD.007750F718","Summer","ALTULC","Upper Salmon","2015-04-28","Observation","2015-05-10 02:12:39","W",112,FALSE,"sockeye"
"GRJ","3DD.007750F889","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-07 17:23:22","W",102,FALSE,"sockeye"
"GRJ","3DD.007750F889","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-07 17:23:24","W",102,FALSE,"sockeye"
"GOJ","3DD.007750F889","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-10 01:44:27","W",102,FALSE,"sockeye"
"GOJ","3DD.007750F889","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-10 01:44:28","W",102,FALSE,"sockeye"
"GRJ","3DD.0077510512","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-08 19:11:25","W",91,FALSE,"sockeye"
"GRJ","3DD.0077510512","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-08 19:11:26","W",91,FALSE,"sockeye"
"GRJ","3DD.0077510C3F","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-09 19:51:37","W",91,FALSE,"sockeye"
"GRJ","3DD.0077510C3F","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-09 19:51:38","W",91,FALSE,"sockeye"
"GRJ","3DD.0077510CC3","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-10 01:50:38","W",101,FALSE,"sockeye"
"GRJ","3DD.0077510CC3","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-10 01:50:39","W",101,FALSE,"sockeye"
"GOJ","3DD.0077510CC3","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-12 21:01:54","W",101,FALSE,"sockeye"
"GOJ","3DD.0077510CC3","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-12 21:01:57","W",101,FALSE,"sockeye"
"TWX","3DD.0077510CC3","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-26 04:40:13","W",101,FALSE,"sockeye"
"GRJ","3DD.0077510D51","Summer","ALTULC","Upper Salmon","2015-05-06","Observation","2015-05-17 14:54:31","W",103,FALSE,"sockeye"
"GRJ","3DD.0077510D51","Summer","ALTULC","Upper Salmon","2015-05-06","Observation","2015-05-17 14:54:33","W",103,FALSE,"sockeye"
"MCJ","3DD.007751146E","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-06-01 21:56:32","W",90,FALSE,"sockeye"
"MCJ","3DD.007751146E","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-06-01 21:56:33","W",90,FALSE,"sockeye"
"GRJ","3DD.0077511AE9","Summer","ALTULC","Upper Salmon","2015-04-28","Observation","2015-05-07 20:24:11","W",100,FALSE,"sockeye"
"GRJ","3DD.0077511AE9","Summer","ALTULC","Upper Salmon","2015-04-28","Observation","2015-05-07 20:24:14","W",100,FALSE,"sockeye"
"GOJ","3DD.0077511AE9","Summer","ALTULC","Upper Salmon","2015-04-28","Observation","2015-05-09 21:17:03","W",100,FALSE,"sockeye"
"GOJ","3DD.0077511AE9","Summer","ALTULC","Upper Salmon","2015-04-28","Observation","2015-05-09 21:17:04","W",100,FALSE,"sockeye"
"LMJ","3DD.0077511AE9","Summer","ALTULC","Upper Salmon","2015-04-28","Observation","2015-05-12 07:09:44","W",100,FALSE,"sockeye"
"LMJ","3DD.0077511AE9","Summer","ALTULC","Upper Salmon","2015-04-28","Observation","2015-05-12 08:41:22","W",100,FALSE,"sockeye"
"GRJ","3DD.0077511BA9","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-08 03:11:04","W",100,FALSE,"sockeye"
"GRJ","3DD.0077511BA9","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-08 03:11:05","W",100,FALSE,"sockeye"
"TWX","3DD.0077511BA9","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-27 06:51:32","W",100,FALSE,"sockeye"
"GRJ","3DD.0077512624","Summer","ALTULC","Upper Salmon","2015-04-25","Observation","2015-05-07 13:50:39","W",109,FALSE,"sockeye"
"GRJ","3DD.0077512624","Summer","ALTULC","Upper Salmon","2015-04-25","Observation","2015-05-07 13:50:41","W",109,FALSE,"sockeye"
"GRJ","3DD.0077512EFF","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-11 10:25:11","W",109,FALSE,"sockeye"
"GRJ","3DD.0077512EFF","Summer","ALTULC","Upper Salmon","2015-04-29","Observation","2015-05-11 10:25:13","W",109,FALSE,"sockeye"
"GRJ","3DD.00775130FB","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-11 21:20:44","W",94,FALSE,"sockeye"
"GRJ","3DD.00775130FB","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-11 21:20:45","W",94,FALSE,"sockeye"
"GOJ","3DD.00775130FB","Summer","ALTULC","Upper Salmon","2015-04-30","Observation","2015-05-14 13:13:42","W",94,FALSE,"sockeye"
