"tag_id","obs_site","ant","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"3D9.1C2DF010AB","GRJ","RACEWAY WEST / RIVER EXIT","Summer","BCANF","Wallowa","2013-04-14","Observation","2013-05-12 05:27:46","H",134,TRUE,"steelhead"
"3D9.1C2DF010AB","BO4","VERTICAL SLOT DETECTORS","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-07-26 08:58:16","H",134,FALSE,"steelhead"
"3D9.1C2DF010AB","TD1","Counting Window","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-09-20 07:36:24","H",134,FALSE,"steelhead"
"3D9.1C2DF010AB","TD1","Counting Window","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-09-20 07:36:19","H",134,FALSE,"steelhead"
"3D9.1C2DF010AB","BO4","VERTICAL SLOT DETECTORS","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-07-26 08:58:17","H",134,FALSE,"steelhead"
"3D9.1C2DF010AB","GRJ","B-SEPARATOR GATE","Summer","BCANF","Wallowa","2013-04-14","Observation","2013-05-12 05:27:41","H",134,FALSE,"steelhead"
"3D9.1C2DF010AB","BO3","WEIR 59","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-07-26 07:55:16","H",134,FALSE,"steelhead"
"3D9.1C2DF010AB","BO3","WEIR 57","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-07-26 07:51:25","H",134,FALSE,"steelhead"
"3D9.1C2DF0825C","GOA","Counting Window","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-11-13 08:06:29","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","GOA","Counting Window","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-11-13 08:06:28","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","ICH","LEFT LADDER WEIR 438 [O/S]","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-11-08 07:37:26","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","MC2","WEIR 312","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-11-04 14:49:39","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","GRA","Ladder Exit","Summer","BCANF","Wallowa","2013-04-14","Observation","2016-03-07 06:33:10","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","LMA","Right Ladder","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-11-11 10:12:55","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","LMA","Right Ladder","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-11-11 10:12:49","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","BO1","VERTICAL SLOT DETECTORS","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-07-27 11:13:47","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","TD1","Counting Window","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-10-31 15:34:00","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","ICH","LEFT LADDER WEIR 437 [O/S]","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-11-08 07:36:12","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","MC2","WEIR 311","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-11-04 14:48:52","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","BO1","VERTICAL SLOT DETECTORS","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-07-27 11:12:06","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","GRA","Ladder Entrance","Summer","BCANF","Wallowa","2013-04-14","Observation","2016-03-06 11:35:53","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","GRA","Ladder Exit","Summer","BCANF","Wallowa","2013-04-14","Observation","2016-03-07 06:33:31","H",NA,FALSE,"steelhead"
"3D9.1C2DF0825C","TD1","Counting Window","Summer","BCANF","Wallowa","2013-04-14","Observation","2015-10-31 15:34:06","H",NA,FALSE,"steelhead"
"3DD.007740DA65","LMJ","B-DIVERSION","Summer","BCANF","Wallowa","2015-05-02","Observation","2015-05-14 13:10:24","H",NA,FALSE,"steelhead"
"3DD.007740DA65","BCC","15X15 FULL-FLOW ANTENNA","Summer","BCANF","Wallowa","2015-05-02","Observation","2015-05-20 17:37:15","H",NA,FALSE,"steelhead"
