"tag_id","obs_site","ant","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"3DD.007794DD39","JDJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-14 21:37:44","H",NA,FALSE,"sockeye"
"3DD.007794E2E4","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-21","Observation","2017-05-19 09:44:07","H",NA,TRUE,"sockeye"
"3DD.007794E2E4","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-21","Observation","2017-05-19 09:44:08","H",NA,TRUE,"sockeye"
"3DD.007794EB21","B2J","SBYC SEPARATOR GATE","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-19 21:30:26","H",NA,FALSE,"sockeye"
"3DD.007794EB21","B2J","RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-19 21:30:30","H",NA,FALSE,"sockeye"
"3DD.007794ED66","LMJ","A-RACEWAY","Summer","RLCTRP","Upper Salmon","2017-04-21","Observation","2017-05-14 22:46:11","H",NA,TRUE,"sockeye"
"3DD.007794ED66","LMJ","A-RACEWAY","Summer","RLCTRP","Upper Salmon","2017-04-21","Observation","2017-05-14 22:46:10","H",NA,TRUE,"sockeye"
"3DD.007794F0C0","GOJ","B-SEPARATOR GATE","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-16 02:59:13","H",NA,FALSE,"sockeye"
"3DD.007794F0C0","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-16 02:59:17","H",NA,TRUE,"sockeye"
"3DD.007795020E","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-22 13:23:42","H",NA,TRUE,"sockeye"
"3DD.007795020E","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-22 13:23:43","H",NA,TRUE,"sockeye"
"3DD.007795020E","GOJ","FULL FLOW BYPASS","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-17 20:29:04","H",NA,FALSE,"sockeye"
"3DD.00779503A2","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-21 04:13:52","H",NA,TRUE,"sockeye"
"3DD.00779503A2","GOJ","B-RACEWAY / RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-26","Observation","2017-05-21 04:13:51","H",NA,TRUE,"sockeye"
"3DD.00779503B8","LMJ","B-DIVERSION","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-13 00:35:13","H",NA,FALSE,"sockeye"
"3DD.00779503B8","LMJ","DIVERSION RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-18","Observation","2017-05-13 03:19:53","H",NA,FALSE,"sockeye"
"3DD.007795081B","GRJ","DIVERSION / SBYC GATE","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-09 11:37:30","H",NA,FALSE,"sockeye"
"3DD.007795081B","GRJ","DIVERSION RIVER EXIT","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-09 11:37:32","H",NA,FALSE,"sockeye"
"3DD.0077951208","GRJ","RCWY-10 GATE","Summer","RLCTRP","Upper Salmon","2017-04-25","Observation","2017-05-10 21:20:30","H",NA,TRUE,"sockeye"
