"obs_site","ant","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"GRJ","SAMPLE TANK","3D9.1C2DEF1146","Summer","ALTULC","Upper Salmon","2010-05-29","Observation","2012-08-01 02:51:30","H",85,TRUE,"sockeye"
"GRJ","SAMPLE TANK","3D9.1C2DEF1146","Summer","ALTULC","Upper Salmon","2010-05-29","Observation","2012-08-01 02:51:31","H",85,TRUE,"sockeye"
"ESANIS",NA,"3D9.1C2DEF1146","Summer","ALTULC","Upper Salmon","2010-05-29","Recovery","2012-10-17 12:00:00","H",85,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1C2CF03E6A","Summer","ALTURL","Upper Salmon","2009-10-07","Observation","2010-06-06 05:22:29","H",82,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1C2CF03E6A","Summer","ALTURL","Upper Salmon","2009-10-07","Observation","2010-06-06 05:22:30","H",82,FALSE,"sockeye"
"JDJ","RIVER EXIT","3D9.1C2CF03E6A","Summer","ALTURL","Upper Salmon","2009-10-07","Observation","2010-06-07 22:51:22","H",82,FALSE,"sockeye"
"JDJ","RIVER EXIT","3D9.1C2CF03E6A","Summer","ALTURL","Upper Salmon","2009-10-07","Observation","2010-06-07 22:51:23","H",82,FALSE,"sockeye"
"BO1","VERTICAL SLOT DETECTORS","3D9.1C2CF03E6A","Summer","ALTURL","Upper Salmon","2009-10-07","Observation","2012-06-24 11:02:12","H",82,FALSE,"sockeye"
"BO1","VERTICAL SLOT DETECTORS","3D9.1C2CF03E6A","Summer","ALTURL","Upper Salmon","2009-10-07","Observation","2012-06-24 11:03:39","H",82,FALSE,"sockeye"
"LMJ","A-DIVERSION","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2010-06-03 04:14:41","H",108,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2010-06-03 05:07:31","H",108,FALSE,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2010-06-04 20:47:31","H",108,FALSE,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2010-06-04 20:47:35","H",108,FALSE,"sockeye"
"BO1","VERTICAL SLOT DETECTORS","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-06-23 16:30:20","H",108,FALSE,"sockeye"
"BO1","VERTICAL SLOT DETECTORS","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-06-23 16:36:00","H",108,FALSE,"sockeye"
"MC1","COUNTING WINDOW","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-06-28 18:41:31","H",108,FALSE,"sockeye"
"MC1","COUNTING WINDOW","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-06-28 18:41:32","H",108,FALSE,"sockeye"
"ICH","LEFT LADDER WEIR 438 [O/S]","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-06-30 06:31:53","H",108,FALSE,"sockeye"
"ICH","LEFT LADDER WEIR 438 [O/S]","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-06-30 06:31:54","H",108,FALSE,"sockeye"
"GRA","WEIR 732","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-07-04 06:36:44","H",108,FALSE,"sockeye"
"GRA","WEIR 733","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-07-04 06:38:36","H",108,FALSE,"sockeye"
"STL","KEYWAY 3 - OVERFLOW","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-08-14 18:37:59","H",108,FALSE,"sockeye"
"STL","KEYWAY 1 - ORIFICE","3D9.1C2D3C9B3E","Summer","PETTLC","Upper Salmon","2010-05-15","Observation","2012-08-14 18:46:31","H",108,FALSE,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2D4020A4","Summer","PETTLC","Upper Salmon","2012-05-09","Observation","2012-05-22 22:41:34","H",146,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2D4020A4","Summer","PETTLC","Upper Salmon","2012-05-09","Observation","2012-05-22 22:41:36","H",146,FALSE,"sockeye"
"LMJ","FULL FLOW BYPASS","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-25 17:57:40","H",141,FALSE,"sockeye"
"LMJ","B-DIVERSION","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-30 08:17:56","H",141,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-31 09:45:57","H",141,FALSE,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-06-02 15:31:44","H",141,FALSE,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-06-02 15:31:47","H",141,FALSE,"sockeye"
"JDJ","RIVER EXIT","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-06-05 00:22:41","H",141,FALSE,"sockeye"
"JDJ","RIVER EXIT","3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-06-05 00:22:42","H",141,FALSE,"sockeye"
"ESANIS",NA,"3D9.1C2D6ADD39","Summer","PETTLC","Upper Salmon","2012-05-12","Recovery","2013-11-27 12:00:00","H",141,FALSE,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2D6ADD44","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-19 20:44:32","H",146,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2D6ADD44","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-19 20:44:34","H",146,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1C2D6ADD44","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 04:40:18","H",146,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2D6ADD44","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-24 04:40:21","H",146,FALSE,"sockeye"
"GOJ","FULL FLOW BYPASS","3D9.1C2D72B805","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-22 22:42:53","H",140,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1C2D72B805","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-29 09:07:56","H",140,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2D72B805","Unknown","PETTLC","Upper Salmon","2012-05-13","Observation","2012-05-29 09:07:58","H",140,FALSE,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1C2D740FDA","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-26 11:08:26","H",149,FALSE,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1C2D740FDA","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-26 11:08:28","H",149,FALSE,"sockeye"
"MCJ","RIVER EXIT","3D9.1C2D740FDA","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-30 21:48:39","H",149,FALSE,"sockeye"
"MCJ","RIVER EXIT","3D9.1C2D740FDA","Summer","PETTLC","Upper Salmon","2012-05-12","Observation","2012-05-30 21:48:40","H",149,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2D742A3E","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-22 21:30:23","H",149,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2D742A3E","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-22 21:30:24","H",149,FALSE,"sockeye"
"BCC","15X15 FULL-FLOW ANTENNA","3D9.1C2D742A3E","Summer","PETTLC","Upper Salmon","2012-05-14","Observation","2012-05-30 11:19:43","H",149,FALSE,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2D37B0C7","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-03 07:48:32","H",102,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2D37B0C7","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-03 07:48:34","H",102,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1C2D37B0C7","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-07 19:03:06","H",102,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1C2D37B0C7","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-07 19:03:07","H",102,FALSE,"sockeye"
"JDJ","RIVER EXIT","3D9.1C2D821983","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-16 20:44:10","H",101,FALSE,"sockeye"
"JDJ","RIVER EXIT","3D9.1C2D821983","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-16 20:44:11","H",101,FALSE,"sockeye"
"RLCTRP",NA,"3D9.1C2D821BFC","Summer","REDFL","Upper Salmon","2011-07-12","Recapture","2012-04-30 07:29:00","H",89,FALSE,"sockeye"
"GRJ","ADULT FISH RETURN","3D9.1C2D821BFC","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-06 21:11:03","H",89,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2D82222E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-06 12:29:51","H",88,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2D82222E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-06 12:29:52","H",88,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2D82599E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-13 00:44:12","H",95,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2D82599E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-13 00:44:13","H",95,FALSE,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1C2D82599E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-16 00:25:54","H",95,FALSE,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1C2D82599E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-16 00:25:56","H",95,FALSE,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1C2D82599E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-17 15:21:17","H",95,FALSE,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1C2D82599E","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-17 15:21:20","H",95,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2D825B67","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-07 02:44:44","H",99,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2D825B67","Summer","REDFL","Upper Salmon","2011-07-12","Observation","2012-05-07 02:44:45","H",99,FALSE,"sockeye"
