"obs_site","ant","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"GOJ","DIVERSION SBYC GATE","3D9.1C2C57003D","Summer","REDFLC","Upper Salmon","2014-05-08","Observation","2014-05-22 06:19:20","H",142,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2C57003D","Summer","REDFLC","Upper Salmon","2014-05-08","Observation","2014-05-22 06:19:23","H",142,FALSE,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2C5942FE","Summer","REDFLC","Upper Salmon","2014-05-09","Observation","2014-05-22 16:41:33","H",129,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2C5942FE","Summer","REDFLC","Upper Salmon","2014-05-09","Observation","2014-05-22 16:41:35","H",129,FALSE,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1C2C5942FE","Summer","REDFLC","Upper Salmon","2014-05-09","Observation","2014-05-28 22:19:03","H",129,FALSE,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1C2C5942FE","Summer","REDFLC","Upper Salmon","2014-05-09","Observation","2014-05-28 22:19:05","H",129,FALSE,"sockeye"
"LMJ","A-DIVERSION","3D9.1C2C5BC915","Summer","REDFLC","Upper Salmon","2014-05-08","Observation","2014-05-20 20:01:54","H",137,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1C2C5BC915","Summer","REDFLC","Upper Salmon","2014-05-08","Observation","2014-05-20 20:22:19","H",137,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1C2C5BCC28","Summer","REDFLC","Upper Salmon","2014-05-08","Observation","2014-05-20 03:23:45","H",145,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1C2C5BCC28","Summer","REDFLC","Upper Salmon","2014-05-08","Observation","2014-05-20 03:23:47","H",145,FALSE,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1C2C5BCC28","Summer","REDFLC","Upper Salmon","2014-05-08","Observation","2014-05-23 07:11:19","H",145,FALSE,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1C2C5BCC28","Summer","REDFLC","Upper Salmon","2014-05-08","Observation","2014-05-23 07:11:21","H",145,FALSE,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1C2C5BDAF7","Summer","REDFLC","Upper Salmon","2014-05-09","Observation","2014-05-17 23:21:59","H",140,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1C2C5BDAF7","Summer","REDFLC","Upper Salmon","2014-05-09","Observation","2014-05-17 23:22:01","H",140,FALSE,"sockeye"
"LMJ","B-DIVERSION","3D9.1C2C5BDAF7","Summer","REDFLC","Upper Salmon","2014-05-09","Observation","2014-05-20 22:12:10","H",140,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1C2C5BDAF7","Summer","REDFLC","Upper Salmon","2014-05-09","Observation","2014-05-20 22:56:58","H",140,FALSE,"sockeye"
"TWX","MATRIX TRAWL [CURRENT]","3D9.1C2C5BDAF7","Summer","REDFLC","Upper Salmon","2014-05-09","Observation","2014-05-28 20:05:56","H",140,FALSE,"sockeye"
