"obs_site","ant","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"BCC","15X15 FULL-FLOW ANTENNA","384.3B2397FEA6","Summer","AMERR","South Fork Clearwater","2013-04-18","Observation","2015-05-08 21:11:30","W",72,FALSE,"steelhead"
"BCC","15X15 FULL-FLOW ANTENNA","384.3B2397FEA6","Summer","AMERR","South Fork Clearwater","2013-04-18","Observation","2015-05-08 21:11:31","W",72,FALSE,"steelhead"
"AMERR",NA,"3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Recapture","2012-10-31 07:56:00","W",185,FALSE,"steelhead"
"GRJ","EAST RACEWAY 10","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2013-05-06 21:43:19","W",185,TRUE,"steelhead"
"GRJ","EAST RACEWAY 10","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2013-05-06 21:43:20","W",185,TRUE,"steelhead"
"TWX","MATRIX TRAWL [CURRENT]","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2013-05-10 12:37:43","W",185,FALSE,"steelhead"
"BO3","WEIR 58","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-14 07:38:20","W",185,FALSE,"steelhead"
"BO3","WEIR 58","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-14 07:38:21","W",185,FALSE,"steelhead"
"BO4","VERTICAL SLOT DETECTORS","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-14 08:11:47","W",185,FALSE,"steelhead"
"BO4","VERTICAL SLOT DETECTORS","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-14 08:12:23","W",185,FALSE,"steelhead"
"TD1","Counting Window","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-16 11:50:01","W",185,FALSE,"steelhead"
"TD1","Counting Window","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-16 11:50:02","W",185,FALSE,"steelhead"
"MC1","COUNTING WINDOW","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-20 09:54:28","W",185,FALSE,"steelhead"
"MC1","COUNTING WINDOW","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-20 09:54:31","W",185,FALSE,"steelhead"
"ICH","LEFT LADDER WEIR 438 [O/S]","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-22 09:20:33","W",185,FALSE,"steelhead"
"ICH","LEFT LADDER WEIR 438 [O/S]","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-22 09:20:34","W",185,FALSE,"steelhead"
"LMA","Left Ladder","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-23 15:51:13","W",185,FALSE,"steelhead"
"LMA","Left Ladder","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-23 15:51:14","W",185,FALSE,"steelhead"
"GOA","Counting Window","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-26 14:59:21","W",185,FALSE,"steelhead"
"GOA","Counting Window","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-26 14:59:22","W",185,FALSE,"steelhead"
"GRA","WEIR 732","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-28 09:13:56","W",185,FALSE,"steelhead"
"GRA","WEIR 733","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2015-10-28 09:18:36","W",185,FALSE,"steelhead"
"LGRLDR",NA,"3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Recapture","2015-10-28 10:00:00","W",185,FALSE,"steelhead"
"SC1","INSTREAM ARRAY","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2016-02-20 11:05:14","W",185,FALSE,"steelhead"
"SC1","INSTREAM ARRAY","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2016-02-20 11:06:14","W",185,FALSE,"steelhead"
"SC2","INSTREAM ARRAY","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2016-02-20 14:45:12","W",185,FALSE,"steelhead"
"SC2","INSTREAM ARRAY","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2016-02-24 23:51:27","W",185,FALSE,"steelhead"
"SC1","INSTREAM ARRAY","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2016-02-24 23:56:44","W",185,FALSE,"steelhead"
"SC1","INSTREAM ARRAY","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2016-02-29 20:41:20","W",185,FALSE,"steelhead"
"SC1","INSTREAM ARRAY","3D9.1C2D7AF7FE","Summer","AMERR","South Fork Clearwater","2012-10-30","Observation","2016-02-29 20:42:20","W",185,FALSE,"steelhead"
"LMJ","B-SEPARATOR GATE","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2013-05-14 00:51:40","W",102,FALSE,"steelhead"
"LMJ","B-RACEWAY","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2013-05-14 00:52:04","W",102,TRUE,"steelhead"
"BO1","VERTICAL SLOT DETECTORS","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2015-09-19 12:42:50","W",102,FALSE,"steelhead"
"BO1","VERTICAL SLOT DETECTORS","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2015-09-19 12:45:30","W",102,FALSE,"steelhead"
"TD1","Counting Window","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2015-09-21 09:56:41","W",102,FALSE,"steelhead"
"TD1","Counting Window","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2015-09-21 09:56:45","W",102,FALSE,"steelhead"
"MC1","COUNTING WINDOW","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2015-09-25 09:17:43","W",102,FALSE,"steelhead"
"MC1","COUNTING WINDOW","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2015-09-25 09:17:44","W",102,FALSE,"steelhead"
"ICH","LEFT LADDER WEIR 438 [O/S]","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2015-09-27 07:48:27","W",102,FALSE,"steelhead"
"ICH","LEFT LADDER WEIR 438 [O/S]","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2015-09-27 07:48:28","W",102,FALSE,"steelhead"
"LMA","Right Ladder","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2015-09-29 07:32:49","W",102,FALSE,"steelhead"
"LMA","Right Ladder","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2015-09-29 07:32:50","W",102,FALSE,"steelhead"
"GOA","Counting Window","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2015-10-02 07:38:02","W",102,FALSE,"steelhead"
"GOA","Counting Window","3D9.1C2D8F3E16","Summer","AMERR","South Fork Clearwater","2011-07-20","Observation","2015-10-02 07:38:03","W",102,FALSE,"steelhead"
