"obs_site","ant","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"GOJ","DIVERSION SBYC GATE","3D9.1BF25DD32B","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-14 21:00:22","H",87,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF25DD32B","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-14 21:00:24","H",87,FALSE,"sockeye"
"LMJ","B-DIVERSION","3D9.1BF25DD32B","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-18 13:22:11","H",87,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF25DD32B","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-18 20:17:31","H",87,FALSE,"sockeye"
"JDJ","RIVER EXIT","3D9.1BF25DD32B","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-25 14:09:10","H",87,FALSE,"sockeye"
"JDJ","RIVER EXIT","3D9.1BF25DD32B","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-25 14:09:11","H",87,FALSE,"sockeye"
"BCC","15X15 FULL-FLOW ANTENNA","3D9.1BF25DD32B","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-27 07:23:33","H",87,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1BF25DD5EC","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-13 17:09:24","H",99,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF25DD5EC","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-13 17:09:26","H",99,FALSE,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1BF25DD5EC","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-18 03:51:03","H",99,FALSE,"sockeye"
"ICHFFB","FULL FLOW BYPASS","3D9.1BF25DD5EC","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-18 03:51:06","H",99,FALSE,"sockeye"
"LMJ","FULL FLOW BYPASS","3D9.1BF25DDDC9","Summer","ALTULC","Upper Salmon","2007-05-03","Observation","2007-05-18 10:56:43","H",91,FALSE,"sockeye"
"LMJ","ADULT FISH RETURN","3D9.1BF25DDDC9","Summer","ALTULC","Upper Salmon","2007-05-03","Observation","2007-05-18 11:34:26","H",91,FALSE,"sockeye"
"JDJ","RIVER EXIT","3D9.1BF25DE1AA","Summer","ALTULC","Upper Salmon","2007-05-06","Observation","2007-05-31 20:27:32","H",106,FALSE,"sockeye"
"JDJ","RIVER EXIT","3D9.1BF25DE1AA","Summer","ALTULC","Upper Salmon","2007-05-06","Observation","2007-05-31 20:27:33","H",106,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF25E042F","Summer","ALTULC","Upper Salmon","2007-05-06","Observation","2007-05-17 16:56:26","H",87,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF25E042F","Summer","ALTULC","Upper Salmon","2007-05-06","Observation","2007-05-17 16:56:27","H",87,FALSE,"sockeye"
"GRJ","A-SEPARATOR GATE","3D9.1BF25E0755","Summer","ALTULC","Upper Salmon","2007-05-09","Observation","2007-05-21 11:48:25","H",91,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF25E0755","Summer","ALTULC","Upper Salmon","2007-05-09","Observation","2007-05-21 11:55:58","H",91,FALSE,"sockeye"
"LMJ","B-DIVERSION","3D9.1BF25E0892","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-13 20:48:42","H",95,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF25E0892","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-13 20:49:01","H",95,FALSE,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1BF25E0D12","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-19 19:45:00","H",93,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1BF25E0D12","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-20 12:42:05","H",93,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1BF25E0D12","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-20 12:42:06","H",93,FALSE,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1BF25E1971","Summer","ALTULC","Upper Salmon","2007-05-14","Observation","2007-05-27 14:52:48","H",83,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF25E1971","Summer","ALTULC","Upper Salmon","2007-05-14","Observation","2007-05-27 14:52:50","H",83,FALSE,"sockeye"
"GRJ","ADULT FISH RETURN","3D9.1BF25E1A7F","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-08 10:34:26","H",98,FALSE,"sockeye"
"LMJ","FULL FLOW BYPASS","3D9.1BF25E1EE4","Summer","ALTULC","Upper Salmon","2007-05-06","Observation","2007-05-20 12:43:31","H",97,FALSE,"sockeye"
"LMJ","B-DIVERSION","3D9.1BF25E1EE4","Summer","ALTULC","Upper Salmon","2007-05-06","Observation","2007-05-21 03:26:29","H",97,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF25E1EE4","Summer","ALTULC","Upper Salmon","2007-05-06","Observation","2007-05-21 03:33:52","H",97,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1BF25E2FB8","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-12 01:39:29","H",96,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF25E2FB8","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-12 01:39:31","H",96,FALSE,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1BF25E2FB8","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-19 13:25:25","H",96,FALSE,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1BF25E2FB8","Summer","ALTULC","Upper Salmon","2007-05-01","Observation","2007-05-19 13:25:28","H",96,FALSE,"sockeye"
"GRJ","ADULT FISH RETURN","3D9.1BF2632028","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-10 20:40:49","H",95,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF2632556","Summer","ALTULC","Upper Salmon","2007-05-09","Observation","2007-05-17 20:38:13","H",104,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF2632556","Summer","ALTULC","Upper Salmon","2007-05-09","Observation","2007-05-17 20:38:14","H",104,FALSE,"sockeye"
"JDJ","RIVER EXIT","3D9.1BF2632556","Summer","ALTULC","Upper Salmon","2007-05-09","Observation","2007-05-28 11:24:12","H",104,FALSE,"sockeye"
"JDJ","RIVER EXIT","3D9.1BF2632556","Summer","ALTULC","Upper Salmon","2007-05-09","Observation","2007-05-28 11:24:13","H",104,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1BF2632573","Summer","ALTULC","Upper Salmon","2007-04-28","Observation","2007-05-10 00:34:52","H",92,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF2632573","Summer","ALTULC","Upper Salmon","2007-04-28","Observation","2007-05-10 00:34:55","H",92,FALSE,"sockeye"
"LMJ","B-DIVERSION","3D9.1BF2632573","Summer","ALTULC","Upper Salmon","2007-04-28","Observation","2007-05-12 01:21:31","H",92,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF2632573","Summer","ALTULC","Upper Salmon","2007-04-28","Observation","2007-05-12 01:22:03","H",92,FALSE,"sockeye"
"MCJ","FULL FLOW BYPASS","3D9.1BF2632573","Summer","ALTULC","Upper Salmon","2007-04-28","Observation","2007-05-14 16:26:30","H",92,FALSE,"sockeye"
"MCJ","ADULT FISH RETURN","3D9.1BF2632573","Summer","ALTULC","Upper Salmon","2007-04-28","Observation","2007-05-14 16:39:08","H",92,FALSE,"sockeye"
"GRJ","DIVERSION / SBYC GATE","3D9.1BF263273F","Summer","ALTULC","Upper Salmon","2007-05-09","Observation","2007-05-18 20:02:28","H",77,FALSE,"sockeye"
"GRJ","DIVERSION RIVER EXIT","3D9.1BF263273F","Summer","ALTULC","Upper Salmon","2007-05-09","Observation","2007-05-18 20:02:30","H",77,FALSE,"sockeye"
"GRJ","ADULT FISH RETURN","3D9.1BF26331BD","Summer","ALTULC","Upper Salmon","2007-04-26","Observation","2007-05-06 02:35:08","H",91,FALSE,"sockeye"
"GRJ","ADULT FISH RETURN","3D9.1BF2633243","Summer","ALTULC","Upper Salmon","2007-05-03","Observation","2007-05-10 23:59:10","H",81,FALSE,"sockeye"
"GRJ","ADULT FISH RETURN","3D9.1BF2633243","Summer","ALTULC","Upper Salmon","2007-05-03","Observation","2007-05-10 23:59:11","H",81,FALSE,"sockeye"
"GOJ","DIVERSION SBYC GATE","3D9.1BF263364A","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-14 02:13:58","H",95,FALSE,"sockeye"
"GOJ","DIVERSION RIVER EXIT","3D9.1BF263364A","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-14 02:14:00","H",95,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF263364A","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-15 08:02:38","H",95,FALSE,"sockeye"
"LMJ","DIVERSION RIVER EXIT","3D9.1BF263364A","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-15 08:02:39","H",95,FALSE,"sockeye"
"MCJ","SBYC B-RACEWAY RIVER GATE","3D9.1BF263364A","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-18 16:53:25","H",95,FALSE,"sockeye"
"MCJ","RIVER-1 EXIT","3D9.1BF263364A","Summer","ALTULC","Upper Salmon","2007-04-30","Observation","2007-05-18 16:54:21","H",95,FALSE,"sockeye"
"SALTRP",NA,"3D9.1BF26339C4","Summer","ALTULC","Upper Salmon","2007-05-03","Recapture","2007-05-08 09:35:00","H",88,FALSE,"sockeye"
"SAJ","MAIN","3D9.1BF26339C4","Summer","ALTULC","Upper Salmon","2007-05-03","Observation","2007-05-08 11:06:37","H",88,FALSE,"sockeye"
