"obs_site","ant","tag_id","run","rel_site","subbasin_name","rel_date","etype","date","rtype","length","transported","species"
"GRA","Ladder Exit","3DD.00775E6F38","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-20","Observation","2018-07-20 12:12:15","H",570,FALSE,"sockeye"
"GRA","Ladder Exit","3DD.00775E6F38","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-20","Observation","2018-07-20 12:14:04","H",570,FALSE,"sockeye"
"GRA","Ladder Exit","3DD.00775ED5AB","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-17","Observation","2018-07-18 05:24:45","H",500,FALSE,"sockeye"
"GRA","WEIR 733","3DD.00775ED5AB","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-17","Observation","2018-07-21 10:15:31","H",500,FALSE,"sockeye"
"GRA","WEIR 733","3DD.00775ED5AB","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-17","Observation","2018-07-21 10:15:32","H",500,FALSE,"sockeye"
"GRA","Ladder Exit","3DD.00775EFBAD","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-30","Observation","2018-07-30 18:04:57","H",540,FALSE,"sockeye"
"GRA","Ladder Exit","3DD.00775EFBAD","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-30","Observation","2018-07-30 18:04:58","H",540,FALSE,"sockeye"
"GRA","WEIR 733","3DD.00775F04BA","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-24","Observation","2018-07-24 11:12:47","H",510,FALSE,"sockeye"
"GRA","WEIR 733","3DD.00775F04BA","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-24","Observation","2018-07-24 11:12:48","H",510,FALSE,"sockeye"
"GRA","Ladder Exit","3DD.00775F15E4","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-24","Observation","2018-07-24 11:26:41","H",540,FALSE,"sockeye"
"GRA","Ladder Exit","3DD.00775F15E4","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-24","Observation","2018-07-24 11:26:42","H",540,FALSE,"sockeye"
"GRA","Ladder Exit","3DD.00775F1EE9","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-12","Observation","2018-07-12 18:49:55","H",500,FALSE,"sockeye"
"GRA","Ladder Exit","3DD.00775F1EE9","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-12","Observation","2018-07-12 18:50:22","H",500,FALSE,"sockeye"
"USE","ARRAY","3DD.00775F1EE9","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-12","Observation","2018-08-17 03:33:25","H",500,FALSE,"sockeye"
"RFL","Instream Array","3DD.00775F1EE9","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-12","Observation","2018-09-09 17:43:51","H",500,FALSE,"sockeye"
"GRA","Ladder Exit","3DD.00775F35FB","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-23","Observation","2018-07-23 17:08:55","H",540,FALSE,"sockeye"
"GRA","Ladder Exit","3DD.00775F35FB","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-23","Observation","2018-07-27 06:16:05","H",540,FALSE,"sockeye"
"GRA","WEIR 733","3DD.00775F35FB","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-23","Observation","2018-07-29 16:39:41","H",540,FALSE,"sockeye"
"GRA","Ladder Exit","3DD.00775F35FB","Unknown","LGRLDR","Lower Snake-Tucannon","2018-07-23","Observation","2018-07-31 04:31:57","H",540,FALSE,"sockeye"
